%Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    	
0.00000000	-0.09821472     	-0.10164760     	2.14662700      	-0.10952410     	-0.04459904     	2.21560100      	-0.11888860     	0.34496410      	2.29337900      	-0.11489790     	0.52171730      	2.30230700      	-0.26238530     	0.20594430      	2.22225500      	-0.31918590     	-0.05261905     	2.16237100      	-0.32216080     	-0.25345690     	2.04189000      	0.04911101      	0.20931770      	2.27536800      	0.09960847      	-0.05575708     	2.21995100      	0.12827010      	-0.25537130     	2.09666700      	-0.16511720     	-0.16746780     	2.11259100      	-0.18498190     	-0.56701800     	2.12509300      	-0.18058930     	-0.80035440     	2.11544600      	-0.02507890     	-0.16908870     	2.13318100      	-0.01388959     	-0.56564840     	2.13669800      	-0.01748825     	-0.79883400     	2.12293700      
0.03333334	-0.09818393     	-0.10150420     	2.14678400      	-0.10959230     	-0.04441773     	2.21575100      	-0.11883980     	0.34532550      	2.29350300      	-0.11484790     	0.52188130      	2.30222800      	-0.26217560     	0.20651160      	2.22184400      	-0.31855270     	-0.05289686     	2.16258000      	-0.32126720     	-0.25364570     	2.04293300      	0.04904360      	0.20939470      	2.27539100      	0.09923947      	-0.05591321     	2.22046700      	0.12733260      	-0.26217910     	2.09578500      	-0.16510270     	-0.16729840     	2.11267800      	-0.18542150     	-0.56681570     	2.12435700      	-0.18065070     	-0.79970420     	2.11507000      	-0.02502860     	-0.16885750     	2.13352500      	-0.01343637     	-0.56557940     	2.13615700      	-0.01749852     	-0.79876230     	2.12271500      
0.06666667	-0.09807833     	-0.10128100     	2.14690000      	-0.10962200     	-0.04421522     	2.21581300      	-0.11902270     	0.34550350      	2.29332600      	-0.11486670     	0.52204160      	2.30210900      	-0.26200960     	0.20680980      	2.22142100      	-0.31818460     	-0.05274648     	2.16291000      	-0.31982540     	-0.25471110     	2.04384200      	0.04901575      	0.20945750      	2.27536500      	0.09914564      	-0.05651404     	2.22112900      	0.12583690      	-0.25859150     	2.10002100      	-0.16496890     	-0.16706800     	2.11281200      	-0.18576280     	-0.56652190     	2.12361400      	-0.18048200     	-0.79982820     	2.11499800      	-0.02482259     	-0.16850080     	2.13373900      	-0.01274872     	-0.56501850     	2.13535000      	-0.01826976     	-0.79816470     	2.12241100      
0.10000000	-0.09799796     	-0.10115300     	2.14705600      	-0.10967000     	-0.04412077     	2.21589300      	-0.11907560     	0.34548840      	2.29323600      	-0.11492770     	0.52233330      	2.30159200      	-0.26190300     	0.20722710      	2.22087900      	-0.31773920     	-0.05371764     	2.16305200      	-0.31888260     	-0.25523920     	2.04445000      	0.04886064      	0.20966590      	2.27528500      	0.09890944      	-0.05670610     	2.22186000      	0.12552990      	-0.25680850     	2.10283100      	-0.16482060     	-0.16685430     	2.11297100      	-0.18588290     	-0.56647630     	2.12322400      	-0.18075730     	-0.80045070     	2.11487700      	-0.02473094     	-0.16835250     	2.13402500      	-0.01271006     	-0.56514640     	2.13510800      	-0.01829633     	-0.79831180     	2.12220300      
0.13333330	-0.09797439     	-0.10095980     	2.14714600      	-0.10975990     	-0.04394873     	2.21594000      	-0.11928990     	0.34558330      	2.29306500      	-0.11526540     	0.52263530      	2.30126400      	-0.26188870     	0.20786130      	2.22039600      	-0.31743510     	-0.05383475     	2.16323700      	-0.31834680     	-0.25471340     	2.04500800      	0.04883940      	0.20981140      	2.27514600      	0.09838345      	-0.05638552     	2.22347600      	0.12514840      	-0.25620250     	2.10421600      	-0.16479430     	-0.16665600     	2.11304400      	-0.18613930     	-0.56629490     	2.12275600      	-0.18112350     	-0.80007960     	2.11472700      	-0.02465346     	-0.16817360     	2.13415900      	-0.01263166     	-0.56519910     	2.13490500      	-0.01826671     	-0.79839740     	2.12181100      
0.16666670	-0.09803832     	-0.10082290     	2.14712400      	-0.10985830     	-0.04381088     	2.21591700      	-0.11927870     	0.34570210      	2.29303800      	-0.11520020     	0.52284550      	2.30087600      	-0.26194700     	0.20807170      	2.21996700      	-0.31729620     	-0.05325839     	2.16359400      	-0.31813400     	-0.25484070     	2.04519200      	0.04887802      	0.20993220      	2.27502100      	0.09835638      	-0.05654322     	2.22396100      	0.12451580      	-0.25496730     	2.10554100      	-0.16485450     	-0.16650420     	2.11300000      	-0.18594870     	-0.56633130     	2.12232900      	-0.18119490     	-0.79994060     	2.11470800      	-0.02474598     	-0.16809140     	2.13412200      	-0.01242178     	-0.56480690     	2.13444700      	-0.01807370     	-0.79800420     	2.12172900      
0.20000000	-0.09806485     	-0.10070240     	2.14711800      	-0.10992710     	-0.04369549     	2.21589800      	-0.11939750     	0.34574940      	2.29286900      	-0.11523010     	0.52297700      	2.30030000      	-0.26195230     	0.20841040      	2.21955700      	-0.31726810     	-0.05319819     	2.16360200      	-0.31767790     	-0.25522680     	2.04543800      	0.04870847      	0.21017960      	2.27476200      	0.09804591      	-0.05646124     	2.22436100      	0.12442480      	-0.26231660     	2.10241300      	-0.16487710     	-0.16631960     	2.11301100      	-0.18603340     	-0.56617180     	2.12195600      	-0.18120600     	-0.80022260     	2.11457800      	-0.02476846     	-0.16797760     	2.13411600      	-0.01235883     	-0.56330950     	2.13360400      	-0.01790867     	-0.79650020     	2.12139700      
0.23333330	-0.09807439     	-0.10060330     	2.14707900      	-0.10997500     	-0.04352067     	2.21583800      	-0.11998140     	0.34584650      	2.29198400      	-0.11543450     	0.52310130      	2.29990100      	-0.26211400     	0.20855780      	2.21920500      	-0.31715620     	-0.05306476     	2.16372900      	-0.31768700     	-0.25531260     	2.04540800      	0.04839713      	0.21022350      	2.27432300      	0.09791128      	-0.05646652     	2.22455500      	0.12472280      	-0.26488060     	2.10104100      	-0.16487600     	-0.16625140     	2.11300800      	-0.18601370     	-0.56618150     	2.12154100      	-0.18119330     	-0.80010910     	2.11437500      	-0.02473799     	-0.16784290     	2.13408800      	-0.01209868     	-0.56320300     	2.13324600      	-0.01790608     	-0.79639170     	2.12133300      
0.26666670	-0.09805249     	-0.10049350     	2.14705200      	-0.10997660     	-0.04341213     	2.21579600      	-0.12007380     	0.34578720      	2.29159100      	-0.11543750     	0.52323840      	2.29923800      	-0.26211680     	0.20890530      	2.21881900      	-0.31712290     	-0.05266538     	2.16381300      	-0.31816660     	-0.25619350     	2.04504000      	0.04823979      	0.21068400      	2.27398700      	0.09787870      	-0.05637604     	2.22462200      	0.12482110      	-0.26184390     	2.10363500      	-0.16484710     	-0.16613070     	2.11298300      	-0.18583680     	-0.56626520     	2.12101300      	-0.18119200     	-0.79971620     	2.11403200      	-0.02469882     	-0.16772910     	2.13409000      	-0.01173370     	-0.56288530     	2.13269500      	-0.01794790     	-0.79608420     	2.12081200      
0.30000000	-0.09816375     	-0.10027790     	2.14689800      	-0.11015750     	-0.04309392     	2.21558000      	-0.12026250     	0.34620220      	2.29078200      	-0.11554370     	0.52358440      	2.29878100      	-0.26255530     	0.20891530      	2.21828000      	-0.31722160     	-0.05211709     	2.16396500      	-0.31848980     	-0.25655850     	2.04479400      	0.04822328      	0.21076750      	2.27385000      	0.09799290      	-0.05661866     	2.22450100      	0.12574260      	-0.26397070     	2.10225000      	-0.16496330     	-0.16604360     	2.11297000      	-0.18583410     	-0.56605210     	2.12047700      	-0.18142730     	-0.80035600     	2.11349100      	-0.02476053     	-0.16751660     	2.13381400      	-0.01141182     	-0.56025820     	2.13150600      	-0.01784772     	-0.79532310     	2.12057700      
