%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	174.550208078975	136.388788670380	170.339679570683	163.862825420189	174.918690907071	131.770725364299	175.368275559782	172.000693783934	156.632553608637	171.015118343302	134.923226616855	176.534083394790	
0.03333334	174.816739651680	136.378842393133	170.511735759503	163.699222808812	174.790121624489	131.731692861332	175.505823275098	172.076023822753	156.234064252564	170.881897238738	135.056713120505	176.521532501793	
0.06666667	175.099249531637	136.394314669967	170.668219664135	163.392446425543	174.824981170951	131.726496367027	175.652033023875	172.202177928042	156.180821112972	170.783449201882	135.055287013140	176.641738450182	
0.10000000	175.229091280504	136.347231552605	170.750409320149	163.481108298502	174.810211712793	131.758530875078	175.693646091963	172.127034219697	156.141172368409	170.810413165196	135.079422862497	176.655842535621	
0.13333330	175.673891553408	136.325240569022	170.865185685262	163.228624613582	174.919857878770	131.694459094200	175.785361237786	172.040270642661	156.009057958983	170.826972885942	135.017016959978	176.623551728909	
0.16666670	175.339339676226	136.403980249823	170.893894536742	163.131630622054	175.160633185618	131.592474893681	175.859058502687	171.477061726312	155.775150213104	170.833735730322	135.074676330486	176.517248175989	
0.20000000	175.339341504957	136.412856892518	170.844132391273	163.040832373142	175.204460429755	131.692940478138	175.868200732013	171.675578290749	155.620660566717	170.936748765413	135.090899469330	176.347492313267	
0.23333330	175.394924862337	136.405593509623	170.649942562107	163.005182710508	174.652860476946	131.741091557606	175.792547060151	171.833425805894	155.521168322007	171.115305679527	134.982337913210	176.533017205787	
0.26666670	175.324958016605	136.412202624645	170.649579650797	162.969918953835	174.942695108260	131.688318479401	175.815192155146	171.958645912233	155.500597324499	171.117819500910	135.031013624052	176.550146197145	
0.30000000	175.166030716922	136.440323563642	170.799799948824	162.692120946420	174.375731836234	131.980464474499	175.982942554306	171.911121986846	155.337764683297	171.304849293191	134.788940098678	176.533421751222	
0.33333330	175.047934700625	136.448325042366	170.612301058897	162.685815886454	174.466896802926	131.904272843190	175.980225969380	171.983743206320	155.354412111968	171.215987411894	134.850274902259	176.571426966719	
0.36666670	174.936867653151	136.458701870548	170.663349582009	162.712798327217	174.689924530471	131.899386926660	175.956337929371	171.916479311593	155.267806606945	171.260672739783	134.827460293667	176.524011764362	
0.40000000	174.982346170118	136.484389747212	170.313899393635	163.737881042746	174.333534763098	131.979807817841	175.190652649982	171.585645634650	155.244155318701	171.289518163424	135.037608366719	176.330881173882	
0.43333330	174.872673094126	136.491190847592	170.081082674332	164.065767179607	174.407274113801	131.930921649971	174.980539804047	171.636973450631	155.322310953423	171.159270592551	135.007226431284	176.359714037637	
0.46666670	174.865817889237	136.483363626756	170.240703319745	163.943511691703	174.505809076337	131.974941853369	175.145628452934	171.631917771539	155.420395408226	171.382871597213	134.879314080878	176.360390637088	
0.50000000	174.460176528250	136.417992706582	170.675650337901	163.705729443255	174.562038880074	132.003686513925	175.590724248508	172.039379779487	155.562593415124	171.337992455172	134.912796377235	176.361705132255	
0.53333340	174.397770076207	136.417121509324	170.790893247611	163.822851697022	174.326703790718	131.847947744052	175.618428858392	172.220403809457	155.455728954320	171.405149175492	134.864896882210	176.357714058426	
0.56666670	174.334707891612	136.394974852561	170.748345614680	164.000954555995	174.387444484192	131.854344956380	175.561212537024	172.345077623383	155.544949834805	171.485214425078	134.915061538330	176.343587676695	
0.60000000	174.307872769387	136.430546900050	170.811987345480	163.868764242727	174.483880241739	131.913670577922	175.681322041057	172.696771911943	155.327223454368	171.449709542017	135.125891233924	176.165136859902	
0.63333330	174.751071942391	136.314315441862	170.940311617604	163.820859163695	174.805992015217	132.011604680060	175.926220408285	172.605059845465	155.388010117772	171.451339792503	134.859122689560	176.180105597220	
0.66666670	174.981514571523	136.327121483561	170.476595593064	164.216619043226	174.690244172578	132.016468291341	175.514396905043	172.803260062575	155.385255483034	171.475496987043	135.070140669746	176.148938464369	
0.70000000	174.550313880545	136.339415719385	170.960842158691	164.169262456912	174.850938281283	131.981733306496	175.790789871350	172.703346571061	155.110466792064	171.412084156000	135.067336836544	175.823323757965	
0.73333330	174.500928639987	136.378894037333	170.874597647098	163.969695324586	174.785240282253	132.021576361747	175.761169834892	172.673078623943	155.054370160788	171.427001933293	135.002634340848	175.819213000206	
0.76666670	174.594363495161	136.368926417951	170.756160920532	163.946524136758	175.040304419023	131.881263532867	175.757309699472	172.599835579069	155.101816408520	171.529113582025	134.967858215354	175.786234453641	
0.80000000	174.570820203101	136.358450247863	170.917283379824	163.875496413293	175.149998308096	131.920011694600	175.882685307891	172.347536213736	155.559524176437	171.427583043709	134.917350946131	175.809219064751	
0.83333330	174.658461886249	136.363882842759	171.042956306401	163.758101995286	175.029658393535	131.925334747360	175.989170822676	172.053004534911	155.413693041199	171.551254218033	134.910920399078	175.817170227822	
0.86666670	174.644774905622	136.352933014629	170.890923268187	163.843230402958	174.997872251206	131.825664036808	175.849972392770	171.029478840645	155.308966521208	171.509206965642	135.000133005058	175.641482700891	
0.90000000	174.525782754418	136.311552165170	170.903759686621	163.823614389114	174.908896548805	132.001294264138	175.827584059753	171.346476499078	155.268032562270	171.527868015620	134.709113379449	175.731583028078	
0.93333330	174.434600981545	136.353089120241	171.028089571588	163.745263751866	174.715882580247	131.968888336634	175.935993697765	172.283899391071	155.173355537014	171.465609918055	134.994556098500	175.797733722574	
0.96666660	174.042417364434	136.376417442729	171.072205260488	163.685586202717	174.624909964795	131.965266090606	175.958893423168	172.426063075070	155.403771906258	171.181189514726	135.035289242699	175.881332290504	
1.00000000	173.948367156986	136.356117559848	170.845631549564	163.761166776167	174.594839693857	131.914818290015	175.911315930292	172.338856756614	155.444541313470	171.149374798476	134.971515176171	175.820919021534	
1.03333300	173.974246946432	136.349732783883	170.875263231637	163.668980688395	174.656356652992	131.879307640074	175.985495058921	172.246277872609	155.539851627941	171.303196113028	134.963139607157	175.983045311199	
1.06666700	173.889524191537	136.376837393060	170.854301079350	163.698325554902	174.665489329319	131.957425856030	175.949271427302	172.089920685286	155.610042005713	171.282630286784	135.018757420878	175.991112058224	
1.10000000	173.466438705806	136.463081039937	171.069440718547	163.478326066682	174.611083873342	131.967413182194	176.103661423109	172.180619761691	155.412871916353	171.176270885108	134.864275780665	176.014323028298	
1.13333300	173.511868615375	136.436121796589	171.228405016032	163.683641656033	174.557374996350	131.966441328707	175.975186200638	172.144749307174	155.423425985871	171.005649201362	134.932604753335	176.034435761556	
1.16666700	173.439342310357	136.428074621309	171.730006371651	163.920051837093	174.801866167660	131.921117272381	175.824308018766	172.139015095950	155.544879216546	171.052573584477	134.912545987427	176.101896115942	
1.20000000	173.513017370991	136.416623325167	171.389154961803	163.749584756397	174.775411391701	131.882212914026	175.961131528341	172.311259788190	155.604467352647	171.015590453996	134.906236849012	176.173182687999	
1.23333300	173.504086099198	136.408512743464	171.315394220952	163.892853310909	175.022340454349	131.855725179293	175.942330851094	172.416135530111	155.565375670602	171.184082243067	134.880426383065	176.170797308128	
1.26666700	173.295363967188	136.394386300257	171.136701802839	164.166199345441	174.983608893684	131.863732285516	175.674759859808	172.002953633192	155.605976092793	171.240902198394	134.863573664380	176.161877037535	
1.30000000	173.228259013849	136.399285332895	170.103925852520	164.642250453381	175.025353193972	131.858226396351	175.126621952894	172.168403000487	155.782841950831	171.267018582770	134.801299887798	176.299067941858	
1.33333300	173.338675969229	136.356588533155	169.978029857579	164.913234012432	174.983522796728	131.950015172589	175.091800614440	172.504536963917	156.145576151256	171.216832732927	134.687988187164	176.352125701400	
1.36666700	173.424212542521	136.321807155962	170.095857912825	164.785679709293	174.685305893394	131.962268747681	175.225086949643	172.406674741447	156.301186692968	171.242082142571	134.638543128708	176.322944993430	
1.40000000	173.483725695394	136.335799783587	169.609869814322	164.822061655127	174.623508606724	131.969357167021	175.155485156714	172.686900508644	156.300349773188	171.261310633354	134.765226974546	176.299255620234	
1.43333300	172.997500659688	136.335369504440	169.798907425081	164.666945701968	174.566559053102	131.990454913250	175.281213473009	172.887937778602	156.435150216657	171.337218546283	134.702769436585	176.303513143880	
