%Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    	
0.00000000	-0.04467564     	0.18355900      	2.80941800      	-0.04965083     	0.24146610      	2.86260200      	-0.05503391     	0.57536790      	2.85676200      	-0.05704667     	0.75881990      	2.83604200      	-0.24057100     	0.49823350      	2.86243600      	-0.48033940     	0.49996330      	2.85150000      	-0.69428780     	0.51575770      	2.81498800      	0.13816850      	0.51522520      	2.89152200      	0.37139790      	0.50681500      	2.90815700      	0.58293100      	0.52704260      	2.94642300      	-0.12629550     	0.09737880      	2.78463200      	-0.13344340     	-0.47505850     	2.81754300      	-0.09863894     	-0.83337030     	2.79769900      	0.04099187      	0.09910193      	2.80821200      	0.01371763      	-0.46710820     	2.82868900      	-0.01981380     	-0.84032830     	2.81283200      
0.03333334	-0.04524856     	0.18353290      	2.80924900      	-0.05043171     	0.24153790      	2.86237400      	-0.05715792     	0.57575620      	2.85594100      	-0.05741609     	0.75673410      	2.83636200      	-0.24069840     	0.49821590      	2.86251500      	-0.48017760     	0.50006590      	2.85165600      	-0.69415490     	0.51581260      	2.81544200      	0.13810720      	0.51508910      	2.89154500      	0.37136150      	0.50719220      	2.90782800      	0.58239220      	0.52696350      	2.94570800      	-0.12664730     	0.09732082      	2.78458000      	-0.13425570     	-0.47287770     	2.81757100      	-0.09889093     	-0.83373440     	2.79714400      	0.04066236      	0.09910715      	2.80806400      	0.01392963      	-0.46712380     	2.82910000      	-0.01967593     	-0.84019980     	2.81290300      
0.06666667	-0.04552419     	0.18371030      	2.80916800      	-0.05069318     	0.24178210      	2.86228100      	-0.05733374     	0.57630390      	2.85570200      	-0.05784450     	0.75866360      	2.83676300      	-0.24139620     	0.49847160      	2.86289400      	-0.48005290     	0.50022900      	2.85159200      	-0.69404460     	0.51558030      	2.81531200      	0.13804070      	0.51511570      	2.89182500      	0.37175110      	0.50767570      	2.90775800      	0.58254500      	0.52684960      	2.94549600      	-0.12688730     	0.09737048      	2.78452000      	-0.13394070     	-0.47326460     	2.81767300      	-0.09817843     	-0.83483430     	2.79639100      	0.04039307      	0.09924436      	2.80799300      	0.01343844      	-0.46811990     	2.82908700      	-0.01944919     	-0.84039200     	2.81280300      
0.10000000	-0.04574158     	0.18355900      	2.80920800      	-0.05101253     	0.24164500      	2.86228400      	-0.05834398     	0.57594420      	2.85524800      	-0.05786510     	0.75824330      	2.83684300      	-0.24144150     	0.49850490      	2.86294100      	-0.48006520     	0.50026600      	2.85156600      	-0.69428170     	0.51574090      	2.81490600      	0.13803080      	0.51511840      	2.89184700      	0.37164630      	0.50784200      	2.90767400      	0.58218420      	0.52677200      	2.94521700      	-0.12694410     	0.09727173      	2.78454700      	-0.13391350     	-0.47329900     	2.81766000      	-0.09846157     	-0.83479600     	2.79626100      	0.04018122      	0.09902350      	2.80814200      	0.01330264      	-0.46809140     	2.82904000      	-0.01915667     	-0.84097610     	2.81228300      
0.13333330	-0.04586937     	0.18365150      	2.80920400      	-0.05110484     	0.24178100      	2.86225800      	-0.05809261     	0.57622390      	2.85491400      	-0.05758348     	0.76067230      	2.83758500      	-0.24152240     	0.49855030      	2.86300500      	-0.48020610     	0.50063910      	2.85146300      	-0.69406640     	0.51603730      	2.81415200      	0.13794510      	0.51501150      	2.89194400      	0.37186930      	0.50803450      	2.90761200      	0.58190140      	0.52658060      	2.94493300      	-0.12720060     	0.09741014      	2.78469200      	-0.13382710     	-0.47310640     	2.81765900      	-0.09830745     	-0.83517030     	2.79608700      	0.04000750      	0.09913240      	2.80811300      	0.01239330      	-0.46807620     	2.82891300      	-0.01931075     	-0.84058340     	2.81233800      
0.16666670	-0.04617904     	0.18341690      	2.80933400      	-0.05141884     	0.24160620      	2.86240800      	-0.05848360     	0.57659960      	2.85540200      	-0.05762521     	0.76035330      	2.83732000      	-0.24154580     	0.49858120      	2.86299100      	-0.48073660     	0.50123390      	2.85137300      	-0.69425130     	0.51814350      	2.81215100      	0.13785890      	0.51495250      	2.89199700      	0.37197120      	0.50823270      	2.90763100      	0.58169100      	0.52684770      	2.94484900      	-0.12753120     	0.09708855      	2.78492000      	-0.13427180     	-0.47294170     	2.81754500      	-0.09856540     	-0.83520950     	2.79604700      	0.03981682      	0.09906366      	2.80811500      	0.01210454      	-0.46929130     	2.82862300      	-0.01796269     	-0.83869580     	2.81307000      
0.20000000	-0.04625881     	0.18350680      	2.80945200      	-0.05146449     	0.24172620      	2.86249600      	-0.05842340     	0.57681360      	2.85535800      	-0.05763996     	0.76054080      	2.83716400      	-0.24165030     	0.49856500      	2.86309500      	-0.48099320     	0.50174420      	2.85184400      	-0.69460740     	0.51898780      	2.81373400      	0.13766310      	0.51511870      	2.89198300      	0.37227110      	0.50855110      	2.90748500      	0.58153760      	0.52662210      	2.94543300      	-0.12750830     	0.09726134      	2.78520300      	-0.13404690     	-0.47288740     	2.81757600      	-0.09895231     	-0.83574280     	2.79603400      	0.03954820      	0.09916592      	2.80826200      	0.01223462      	-0.46903770     	2.82837900      	-0.01804315     	-0.83870610     	2.81306100      
0.23333330	-0.04662630     	0.18357090      	2.80949900      	-0.05174685     	0.24196980      	2.86247900      	-0.05873309     	0.57758930      	2.85455800      	-0.05814178     	0.76068660      	2.83613000      	-0.24214050     	0.49916620      	2.86373400      	-0.48036410     	0.50221680      	2.85222300      	-0.69402260     	0.51946190      	2.81455900      	0.13760810      	0.51511550      	2.89198800      	0.37209070      	0.50777070      	2.90779000      	0.58157430      	0.52659790      	2.94560200      	-0.12799810     	0.09741702      	2.78545800      	-0.13371260     	-0.47377600     	2.81756000      	-0.09941886     	-0.83561890     	2.79628100      	0.03917950      	0.09908210      	2.80836600      	0.01183939      	-0.46855740     	2.82812800      	-0.02102173     	-0.83823960     	2.80981200      
0.26666670	-0.04674159     	0.18367150      	2.80959800      	-0.05184280     	0.24205200      	2.86259200      	-0.05874521     	0.57766310      	2.85480600      	-0.05821016     	0.76059800      	2.83620300      	-0.24221090     	0.49917610      	2.86384400      	-0.48024530     	0.50226660      	2.85216200      	-0.69459570     	0.52026340      	2.81512600      	0.13755730      	0.51511470      	2.89199700      	0.37164580      	0.50787870      	2.90761100      	0.58108370      	0.52650600      	2.94557400      	-0.12813720     	0.09748016      	2.78557200      	-0.13428000     	-0.47357830     	2.81763200      	-0.09911659     	-0.83655800     	2.79725000      	0.03908907      	0.09923299      	2.80840100      	0.01147104      	-0.46855630     	2.82785000      	-0.02035805     	-0.83777980     	2.81087900      
0.30000000	-0.04799892     	0.18399750      	2.80977800      	-0.05301929     	0.24242490      	2.86278500      	-0.05920174     	0.57817580      	2.85510800      	-0.05835409     	0.76050440      	2.83607100      	-0.24215120     	0.49925040      	2.86390600      	-0.48036390     	0.50237020      	2.85220500      	-0.69401390     	0.52010380      	2.81494000      	0.13775770      	0.51509850      	2.89246700      	0.37257590      	0.50855460      	2.90773000      	0.58146880      	0.52661070      	2.94562300      	-0.12949130     	0.09794171      	2.78563400      	-0.13400070     	-0.47390270     	2.81764500      	-0.09952159     	-0.83620380     	2.79731700      	0.03761911      	0.09933964      	2.80861900      	0.01143782      	-0.46848200     	2.82773400      	-0.02310342     	-0.84038150     	2.80798500      
