%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	173.716135943244	157.726316256485	162.197625378112	139.808152348849	174.659320316749	138.548584937898	107.922035959752	159.625877400587	136.807771372020	173.177434990479	140.246147875847	105.300159162772	
0.03333334	173.556417363040	157.815845758130	162.498822075337	138.460551429468	175.192681188331	138.864448430909	106.797796986145	159.776180119259	136.356438605809	173.558313458067	139.896680201840	104.840354578436	
0.06666667	173.340869036469	157.637036741549	162.640710565115	137.555417821512	176.068470465695	139.282230719489	105.802679070635	159.811373763400	135.982856152754	173.955494884523	139.337467556080	104.405384073023	
0.10000000	172.856505635295	157.291782804001	162.968213030284	136.424962574876	176.988015455223	139.471001373904	104.914576380956	159.914826864326	135.778972182646	174.152741755852	139.092817065395	103.910820016465	
0.13333330	172.670088913514	156.744888600406	163.137727298397	135.917666129952	177.646173135837	139.834089635481	104.487244636442	159.632186403988	135.771824102367	174.312181767893	138.420505792427	103.803635274534	
0.16666670	172.385140994783	156.208977900124	163.279100412194	134.821414777294	176.833885921258	139.553371437224	103.888246615849	159.335451215839	136.182787906579	174.157241935783	138.151789096783	103.724184021687	
0.20000000	172.322421730919	155.674866511265	163.161029869043	134.642429045939	175.110382450878	139.386713794742	103.700092793775	158.965364416664	136.554676669797	173.918012957782	137.935700041619	103.963818487540	
0.23333330	172.483104224634	155.120667128225	162.930723046659	134.696900858676	173.271129447460	139.206032478510	103.623437033486	158.756105563437	136.606833704080	173.695101514019	137.710089479353	104.199529708168	
0.26666670	172.517347266068	154.609269767392	162.630652339619	134.802948786150	171.767993696413	139.049865056299	103.630633272282	158.904035951441	137.046467208660	173.484255346412	137.542272857885	104.704506197459	
0.30000000	172.437189122135	154.156704557173	162.256829008127	134.845006071267	170.748556820794	138.831279805962	103.673605985022	159.329232061359	137.433092527526	173.334274671766	137.393696874927	105.145049692006	
0.33333330	172.419126814706	153.771241948504	161.814872051897	134.885879786023	170.236924241231	138.669967527531	103.723544124718	159.818895262140	137.773793810223	173.224096461332	137.274388408486	105.519971999673	
0.36666670	172.471102999680	153.432046771878	161.418458075519	134.940329712100	169.971935391380	138.550281596163	103.797358434752	160.238807947779	138.086566242048	173.140606710693	137.186161991360	105.842106977633	
0.40000000	172.575337960932	153.142134996870	161.295007293645	135.013779237118	169.871153812079	138.461448380106	103.890398539599	160.474976798798	138.318620232793	173.053663740141	137.136374000653	106.077811007929	
0.43333330	172.662659444168	152.892222103210	161.296769537449	135.121005111802	169.804441680531	138.385546968386	103.994737848174	160.613674821120	138.514951888161	172.980601602149	137.115737998180	106.282743740954	
0.46666670	172.736547720884	152.684391633514	161.430269519692	135.287742757410	169.779462318385	138.320084579304	104.150429141689	160.686207978632	138.701405441620	172.940612475137	137.102898985057	106.473188742657	
0.50000000	172.809490102206	152.525015004070	161.809722889083	135.570689651110	169.826358584590	138.243125061642	104.428406177770	160.671008779107	138.843046019255	172.926710670770	137.097974802471	106.620116627083	
0.53333340	172.875120849210	152.259662071925	162.475394676577	136.190577628103	170.002745815196	138.005348085644	105.042083432057	160.572372718743	138.944411295211	172.958037053742	137.152194622027	106.722802067587	
0.56666670	172.920038776346	151.793685014725	162.912969929918	136.882275681910	170.303684681959	137.504710957023	105.755074310315	160.353541854164	139.003264972206	173.169256304912	137.321623894241	106.815957009292	
0.60000000	172.951914148318	151.249092074529	163.096792682255	137.555563600858	170.562727448474	136.904880615985	106.509397487136	159.844552888102	138.963512849932	173.474115211006	137.529196886906	106.834956822406	
0.63333330	173.207959598621	150.688005019538	163.353881159395	138.110931342028	170.551937248198	136.388802848946	107.084336976247	158.685736362276	138.920183602173	172.381792001810	137.613203196010	106.798269313865	
0.66666670	173.700007903697	150.214409287518	163.459810373336	138.399078775511	170.300273188630	135.832771276952	107.361574781105	162.232610034709	138.998593400251	169.864833358412	137.658776154665	106.728810328719	
0.70000000	174.775305835015	149.792543275431	163.274918649169	138.604449922644	169.947505954827	135.331275472746	107.636079650696	159.634423742373	137.977965839201	168.271538946516	137.880171550267	106.034442568478	
