%Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    	
0.00000000	0.09704233      	0.03336994      	2.46690600      	0.09691452      	0.10210910      	2.49215300      	0.09643465      	0.45316820      	2.47924400      	0.09299172      	0.64690720      	2.45090700      	-0.07993960     	0.34799890      	2.49123700      	-0.15516940     	0.08488715      	2.52404900      	-0.19366960     	-0.14198750     	2.47285300      	0.26705930      	0.34479220      	2.49194400      	0.34797740      	0.08651619      	2.49908300      	0.38664760      	-0.14423350     	2.43862200      	0.01962580      	-0.04432430     	2.45958500      	-0.02746989     	-0.55485320     	2.45725400      	-0.04841839     	-0.93099350     	2.49843000      	0.17365280      	-0.04508287     	2.46619200      	0.20139660      	-0.56380150     	2.50191400      	0.18696730      	-0.94722580     	2.52034300      
0.03333334	0.09141215      	0.03334468      	2.46735600      	0.09115405      	0.10186900      	2.49279000      	0.09013391      	0.45301270      	2.48162600      	0.08838166      	0.64742960      	2.45341700      	-0.08593022     	0.34874800      	2.49436500      	-0.15980800     	0.08478112      	2.52492400      	-0.19697370     	-0.14199580     	2.47246100      	0.26115940      	0.34470530      	2.49613200      	0.33689510      	0.08281253      	2.50401500      	0.37015980      	-0.14779250     	2.44598400      	0.01414878      	-0.04414223     	2.45848500      	-0.03087504     	-0.55410850     	2.45903300      	-0.04870915     	-0.93139180     	2.49916500      	0.16804970      	-0.04551141     	2.46720000      	0.19701910      	-0.56350200     	2.50176600      	0.18690850      	-0.94704940     	2.52064000      
0.06666667	0.08415321      	0.03334852      	2.46768400      	0.08375847      	0.10166530      	2.49358300      	0.08340448      	0.45303790      	2.48376900      	0.08385067      	0.64826310      	2.45544000      	-0.09268017     	0.34907100      	2.49685200      	-0.16523720     	0.08415394      	2.52543100      	-0.20027280     	-0.14248270     	2.47173300      	0.25345920      	0.34447820      	2.50083500      	0.32480970      	0.07875088      	2.50954200      	0.35789540      	-0.15151520     	2.45083500      	0.00697669      	-0.04389529     	2.45714700      	-0.03478321     	-0.55357810     	2.46067700      	-0.04896359     	-0.93158730     	2.49966500      	0.16054800      	-0.04591227     	2.46815500      	0.19063750      	-0.56236070     	2.50046900      	0.18683320      	-0.94690260     	2.52087600      
0.10000000	0.07617476      	0.03347012      	2.46797400      	0.07519209      	0.10159980      	2.49452700      	0.07391121      	0.45327320      	2.48587500      	0.07915422      	0.64907350      	2.45716500      	-0.10034770     	0.34932060      	2.49858100      	-0.17085490     	0.08348888      	2.52537200      	-0.20496000     	-0.14308670     	2.47026000      	0.24527310      	0.34471510      	2.50522600      	0.31319070      	0.07483807      	2.51392200      	0.34964360      	-0.15401980     	2.45406100      	-0.00048815     	-0.04362105     	2.45600300      	-0.04029378     	-0.55363210     	2.46246800      	-0.04923108     	-0.93176540     	2.50008800      	0.15276060      	-0.04608829     	2.46900300      	0.18382140      	-0.56218460     	2.49827000      	0.18671240      	-0.94676730     	2.52102800      
0.13333330	0.06680641      	0.03352821      	2.46817600      	0.06568401      	0.10146660      	2.49551000      	0.06599829      	0.45332860      	2.48739700      	0.07308234      	0.64949610      	2.45851500      	-0.10753220     	0.34947920      	2.49949000      	-0.17789810     	0.08269451      	2.52478300      	-0.20817310     	-0.14379060     	2.46844800      	0.23730780      	0.34492300      	2.50907800      	0.30378260      	0.07209999      	2.51743000      	0.34187830      	-0.15609720     	2.45702000      	-0.00990636     	-0.04332061     	2.45492800      	-0.04609008     	-0.55403530     	2.46411300      	-0.04952139     	-0.93187950     	2.50043700      	0.14308530      	-0.04625819     	2.46966800      	0.17532250      	-0.56285180     	2.49386800      	0.18645590      	-0.94668200     	2.52111100      
0.16666670	0.05876466      	0.03376815      	2.46836500      	0.05687939      	0.10157610      	2.49641900      	0.05582873      	0.45358940      	2.48853900      	0.06649306      	0.65047780      	2.46024900      	-0.11468160     	0.34960710      	2.49967700      	-0.18492120     	0.08232247      	2.52367100      	-0.21187430     	-0.14428890     	2.46617200      	0.23031840      	0.34513220      	2.51272700      	0.29429810      	0.07010014      	2.52105300      	0.33166460      	-0.15740750     	2.46095300      	-0.01767952     	-0.04296266     	2.45424100      	-0.05220514     	-0.55503140     	2.46563700      	-0.04981875     	-0.93197180     	2.50074600      	0.13559250      	-0.04624842     	2.47019600      	0.16625310      	-0.56441180     	2.48734600      	0.18593560      	-0.94659180     	2.52101600      
0.20000000	0.05192349      	0.03386832      	2.46854800      	0.04936235      	0.10159440      	2.49730800      	0.04814969      	0.45394820      	2.48958300      	0.05988952      	0.65131180      	2.46164300      	-0.12182280     	0.34945040      	2.49901000      	-0.19319750     	0.08157337      	2.52170100      	-0.21614320     	-0.14521900     	2.46359500      	0.22254130      	0.34559190      	2.51663100      	0.28631260      	0.06926294      	2.52480900      	0.32500580      	-0.15753280     	2.46374300      	-0.02427723     	-0.04278930     	2.45368000      	-0.05735468     	-0.55578910     	2.46670600      	-0.05011152     	-0.93198700     	2.50100200      	0.12895080      	-0.04622033     	2.47069300      	0.15858800      	-0.56615260     	2.48088000      	0.18516740      	-0.94662760     	2.52066400      
0.23333330	0.04615523      	0.03381166      	2.46872500      	0.04291107      	0.10140070      	2.49817000      	0.04170246      	0.45380710      	2.49054700      	0.05159920      	0.64936080      	2.46269600      	-0.12938110     	0.34879730      	2.49742000      	-0.20146650     	0.08092543      	2.51893800      	-0.22141820     	-0.14633000     	2.46066900      	0.21496750      	0.34589990      	2.52027300      	0.27943260      	0.06808371      	2.52858100      	0.31962990      	-0.15802050     	2.46643000      	-0.02989594     	-0.04279460     	2.45317700      	-0.06155221     	-0.55651000     	2.46743900      	-0.05046401     	-0.93187390     	2.50122000      	0.12334740      	-0.04629649     	2.47118800      	0.15197600      	-0.56633330     	2.47392800      	0.18387610      	-0.94655350     	2.51960900      
0.26666670	0.04151869      	0.03376926      	2.46886100      	0.03772222      	0.10124540      	2.49891300      	0.03650580      	0.45368300      	2.49124200      	0.04532233      	0.64827360      	2.46319500      	-0.13489810     	0.34832060      	2.49598900      	-0.20931190     	0.07997119      	2.51578400      	-0.22994580     	-0.14784160     	2.45713500      	0.20893700      	0.34605310      	2.52305600      	0.27400750      	0.06769406      	2.53199600      	0.31536580      	-0.15798340     	2.46897100      	-0.03436948     	-0.04279092     	2.45273800      	-0.06493827     	-0.55720780     	2.46796100      	-0.05077674     	-0.93174020     	2.50138900      	0.11879740      	-0.04630009     	2.47165500      	0.14669080      	-0.56574710     	2.46760000      	0.18172910      	-0.94619020     	2.51783600      
0.30000000	0.03790229      	0.03374161      	2.46893400      	0.03360394      	0.10112020      	2.49951500      	0.03189354      	0.45354490      	2.49171900      	0.04062254      	0.64763760      	2.46345800      	-0.13971650     	0.34787940      	2.49453000      	-0.21610190     	0.07917360      	2.51236800      	-0.23896900     	-0.14908620     	2.45345200      	0.20435730      	0.34611670      	2.52512400      	0.26993850      	0.06778804      	2.53523400      	0.31255640      	-0.15759170     	2.47145800      	-0.03788953     	-0.04282222     	2.45231300      	-0.06747996     	-0.55778550     	2.46829800      	-0.05106483     	-0.93161030     	2.50152500      	0.11539090      	-0.04629269     	2.47203100      	0.14243500      	-0.56439630     	2.46225600      	0.17812350      	-0.94496110     	2.51505900      
