%Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    	
0.00000000	0.00012781      	-0.06873921     	-0.02524710     	0.00000000      	0.00000000      	0.00000000      	-0.00047988     	0.35105910      	-0.01290965     	-0.00392281     	0.54479800      	-0.04124618     	-0.17685410     	0.24588980      	-0.00091577     	-0.25208390     	-0.01722199     	0.03189588      	-0.29058410     	-0.24409660     	-0.01929998     	0.17014470      	0.24268310      	-0.00020957     	0.25106280      	-0.01559296     	0.00692940      	0.28973310      	-0.24634270     	-0.05353165     	-0.07728872     	-0.14643340     	-0.03256845     	-0.12438440     	-0.65696230     	-0.03489876     	-0.14533290     	-1.03310300     	0.00627732      	0.07673823      	-0.14719200     	-0.02596116     	0.10448210      	-0.66591060     	0.00976062      	0.09005281      	-1.04933500     	0.02818966      
0.03333334	0.00025810      	-0.06852432     	-0.02543378     	0.00000000      	0.00000000      	0.00000000      	-0.00102014     	0.35114370      	-0.01116467     	-0.00277239     	0.54556060      	-0.03937316     	-0.17708430     	0.24687900      	0.00157476      	-0.25096200     	-0.01708788     	0.03213382      	-0.28812780     	-0.24386480     	-0.02032948     	0.17000540      	0.24283630      	0.00334215      	0.24574100      	-0.01905647     	0.01122451      	0.27900570      	-0.24966150     	-0.04680634     	-0.07700526     	-0.14601120     	-0.03430510     	-0.12202910     	-0.65597750     	-0.03375697     	-0.13986320     	-1.03326100     	0.00637507      	0.07689562      	-0.14738040     	-0.02559042     	0.10586500      	-0.66537100     	0.00897574      	0.09575444      	-1.04891800     	0.02784944      
0.06666667	0.00039474      	-0.06831676     	-0.02589893     	0.00000000      	0.00000000      	0.00000000      	-0.00035398     	0.35137270      	-0.00981426     	0.00009220      	0.54659780      	-0.03814292     	-0.17643860     	0.24740580      	0.00326896      	-0.24899560     	-0.01751134     	0.03184772      	-0.28403130     	-0.24414790     	-0.02185035     	0.16970070      	0.24281290      	0.00725222      	0.24105130      	-0.02291439     	0.01595902      	0.27413700      	-0.25318050     	-0.04274774     	-0.07678177     	-0.14556060     	-0.03643656     	-0.11854170     	-0.65524330     	-0.03290653     	-0.13272200     	-1.03325300     	0.00608206      	0.07678958      	-0.14757760     	-0.02542806     	0.10687910      	-0.66402600     	0.00688601      	0.10307470      	-1.04856800     	0.02729297      
0.10000000	0.00098266      	-0.06812970     	-0.02655292     	0.00000000      	0.00000000      	0.00000000      	-0.00128088     	0.35167340      	-0.00865197     	0.00396212      	0.54747370      	-0.03736210     	-0.17553980     	0.24772080      	0.00405407      	-0.24604700     	-0.01811094     	0.03084445      	-0.28015210     	-0.24468650     	-0.02426744     	0.17008100      	0.24311520      	0.01069903      	0.23799860      	-0.02676175     	0.01939440      	0.27445150      	-0.25561960     	-0.04046679     	-0.07568025     	-0.14522090     	-0.03852439     	-0.11548590     	-0.65523190     	-0.03205943     	-0.12442320     	-1.03336500     	0.00556064      	0.07756855      	-0.14768810     	-0.02552438     	0.10862930      	-0.66378440     	0.00374293      	0.11152030      	-1.04836700     	0.02650046      
0.13333330	0.00112239      	-0.06793836     	-0.02733397     	0.00000000      	0.00000000      	0.00000000      	0.00031427      	0.35186210      	-0.00811243     	0.00739832      	0.54802950      	-0.03699422     	-0.17321620     	0.24801260      	0.00398040      	-0.24358210     	-0.01877205     	0.02927303      	-0.27385710     	-0.24525720     	-0.02706194     	0.17162380      	0.24345640      	0.01356840      	0.23809860      	-0.02936657     	0.02191997      	0.27619430      	-0.25756380     	-0.03848958     	-0.07559037     	-0.14478720     	-0.04058123     	-0.11177410     	-0.65550180     	-0.03139639     	-0.11520540     	-1.03334600     	0.00492764      	0.07740126      	-0.14772470     	-0.02584171     	0.10963840      	-0.66431840     	-0.00164151     	0.12077190      	-1.04814900     	0.02560091      
0.16666670	0.00188527      	-0.06780792     	-0.02805376     	0.00000000      	0.00000000      	0.00000000      	-0.00105066     	0.35201330      	-0.00787997     	0.00961367      	0.54890170      	-0.03617048     	-0.17156100     	0.24803100      	0.00325751      	-0.24180060     	-0.01925360     	0.02725172      	-0.26875370     	-0.24586500     	-0.03024769     	0.17343900      	0.24355610      	0.01630831      	0.23741870      	-0.03147593     	0.02463365      	0.27478520      	-0.25898360     	-0.03546667     	-0.07455891     	-0.14453870     	-0.04217815     	-0.10908450     	-0.65660740     	-0.03078246     	-0.10669810     	-1.03354800     	0.00432634      	0.07871310      	-0.14782450     	-0.02622294     	0.10937380      	-0.66598780     	-0.00907302     	0.12905620      	-1.04816800     	0.02459693      
0.20000000	0.00256114      	-0.06772612     	-0.02875972     	0.00000000      	0.00000000      	0.00000000      	-0.00121266     	0.35235380      	-0.00772429     	0.01052717      	0.54971730      	-0.03566504     	-0.17118510     	0.24785590      	0.00170207      	-0.24255990     	-0.02002107     	0.02439380      	-0.26550550     	-0.24681340     	-0.03371215     	0.17317900      	0.24399750      	0.01932359      	0.23695030      	-0.03233150     	0.02750182      	0.27564350      	-0.25912730     	-0.03356409     	-0.07363958     	-0.14438370     	-0.04362750     	-0.10671700     	-0.65738360     	-0.03060126     	-0.09947386     	-1.03358100     	0.00369453      	0.07958841      	-0.14781480     	-0.02661419     	0.10922560      	-0.66774700     	-0.01642776     	0.13580510      	-1.04822200     	0.02335691      
0.23333330	0.00324416      	-0.06758903     	-0.02944493     	0.00000000      	0.00000000      	0.00000000      	-0.00120861     	0.35240640      	-0.00762320     	0.00868813      	0.54796020      	-0.03547430     	-0.17229210     	0.24739660      	-0.00075078     	-0.24437760     	-0.02047526     	0.02076769      	-0.26432930     	-0.24773070     	-0.03750157     	0.17205650      	0.24449910      	0.02210236      	0.23652150      	-0.03331698     	0.03041077      	0.27671890      	-0.25942120     	-0.03174067     	-0.07280701     	-0.14419530     	-0.04499340     	-0.10446330     	-0.65791060     	-0.03073168     	-0.09337507     	-1.03327500     	0.00304937      	0.08043636      	-0.14769720     	-0.02698207     	0.10906490      	-0.66773400     	-0.02424240     	0.14096510      	-1.04795400     	0.02143884      
0.26666670	0.00379648      	-0.06747612     	-0.03005242     	0.00000000      	0.00000000      	0.00000000      	-0.00121642     	0.35243760      	-0.00767088     	0.00760012      	0.54702820      	-0.03571844     	-0.17262040     	0.24707520      	-0.00292468     	-0.24703410     	-0.02127419     	0.01687026      	-0.26766800     	-0.24908700     	-0.04177833     	0.17121470      	0.24480770      	0.02414227      	0.23628530      	-0.03355133     	0.03308272      	0.27764360      	-0.25922880     	-0.02994275     	-0.07209169     	-0.14403630     	-0.04617572     	-0.10266050     	-0.65845320     	-0.03095245     	-0.08849896     	-1.03298600     	0.00247526      	0.08107518      	-0.14754550     	-0.02725863     	0.10896860      	-0.66699250     	-0.03131342     	0.14400690      	-1.04743600     	0.01892281      
0.30000000	0.00429834      	-0.06737857     	-0.03058100     	0.00000000      	0.00000000      	0.00000000      	-0.00171040     	0.35242470      	-0.00779605     	0.00701860      	0.54651740      	-0.03605652     	-0.17332040     	0.24675920      	-0.00498438     	-0.24970580     	-0.02194657     	0.01285386      	-0.27257300     	-0.25020640     	-0.04606271     	0.17075330      	0.24499650      	0.02560973      	0.23633450      	-0.03333213     	0.03571916      	0.27895240      	-0.25871190     	-0.02805638     	-0.07149347     	-0.14394240     	-0.04720163     	-0.10108390     	-0.65890560     	-0.03121686     	-0.08466877     	-1.03273000     	0.00201058      	0.08178695      	-0.14741290     	-0.02748394     	0.10883100      	-0.66551640     	-0.03725863     	0.14451960      	-1.04608100     	0.01554465      
