%Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    	
0.00000000	-0.00069296     	-0.06506170     	-0.05012274     	0.00000000      	0.00000000      	0.00000000      	-0.00912217     	0.35759010      	-0.01719594     	-0.02228738     	0.54161940      	-0.02400827     	-0.18354140     	0.26236020      	-0.00861716     	-0.40860460     	0.25660440      	0.00048923      	-0.63435200     	0.25464480      	0.01312375      	0.16430580      	0.26902820      	-0.02588844     	0.42368160      	0.28390320      	-0.01685309     	0.64099680      	0.31590400      	-0.00182366     	-0.07519801     	-0.14588240     	-0.05800486     	-0.05810149     	-0.72176760     	0.01955175      	-0.04878935     	-1.07414800     	0.01580524      	0.07718547      	-0.13973360     	-0.05920315     	0.06626393      	-0.71925820     	0.03360462      	0.03259914      	-1.07817600     	0.03275466      
0.03333334	-0.00068142     	-0.06507313     	-0.05004454     	0.00000000      	0.00000000      	0.00000000      	-0.00935851     	0.35756350      	-0.01706934     	-0.02236944     	0.54161760      	-0.02398872     	-0.18351900     	0.26235160      	-0.00866485     	-0.40875080     	0.25638600      	0.00036311      	-0.63437890     	0.25423300      	0.01286960      	0.16432800      	0.26905040      	-0.02587652     	0.42370640      	0.28408460      	-0.01685023     	0.64090880      	0.31599380      	-0.00183654     	-0.07516729     	-0.14589100     	-0.05794072     	-0.05813036     	-0.72169310     	0.01964712      	-0.04882188     	-1.07407600     	0.01578379      	0.07721151      	-0.13974350     	-0.05910993     	0.06616131      	-0.71931120     	0.03377199      	0.03258231      	-1.07808100     	0.03277206      
0.06666667	-0.00067168     	-0.06508603     	-0.04997230     	0.00000000      	0.00000000      	0.00000000      	-0.00959951     	0.35753860      	-0.01694775     	-0.02243442     	0.54162220      	-0.02398348     	-0.18348580     	0.26234620      	-0.00872159     	-0.40889630     	0.25617120      	0.00022483      	-0.63361750     	0.25531680      	0.01300073      	0.16435700      	0.26907480      	-0.02587295     	0.42375200      	0.28426200      	-0.01685047     	0.64086810      	0.31575950      	-0.00190043     	-0.07513428     	-0.14589780     	-0.05788732     	-0.05813896     	-0.72163000     	0.01972175      	-0.04882469     	-1.07403100     	0.01574326      	0.07723342      	-0.13975770     	-0.05902338     	0.06606787      	-0.71936050     	0.03390884      	0.03258647      	-1.07799800     	0.03276968      
0.10000000	-0.00066127     	-0.06509982     	-0.04990625     	0.00000000      	0.00000000      	0.00000000      	-0.00984986     	0.35752010      	-0.01683760     	-0.02250708     	0.54163310      	-0.02398729     	-0.18344320     	0.26233960      	-0.00878382     	-0.40901890     	0.25595890      	0.00007081      	-0.63293200     	0.25624630      	0.01313686      	0.16439290      	0.26910070      	-0.02587128     	0.42380550      	0.28441440      	-0.01685858     	0.64078090      	0.31589090      	-0.00181699     	-0.07509951     	-0.14590400     	-0.05784082     	-0.05815234     	-0.72157780     	0.01978850      	-0.04879237     	-1.07398100     	0.01570272      	0.07725781      	-0.13977440     	-0.05894446     	0.06598142      	-0.71939830     	0.03402948      	0.03260969      	-1.07793700     	0.03274822      
0.13333330	-0.00065301     	-0.06511723     	-0.04984021     	0.00000000      	0.00000000      	0.00000000      	-0.01007505     	0.35750560      	-0.01675129     	-0.02254914     	0.54165350      	-0.02400613     	-0.18337390     	0.26233520      	-0.00886107     	-0.40909080     	0.25576230      	-0.00010347     	-0.63234910     	0.25541590      	0.01264405      	0.16445290      	0.26912960      	-0.02588201     	0.42388260      	0.28455160      	-0.01688123     	0.64070810      	0.31606390      	-0.00173211     	-0.07506281     	-0.14591030     	-0.05779791     	-0.05813499     	-0.72152320     	0.01983166      	-0.05354743     	-1.06126600     	0.02075076      	0.07727475      	-0.13980100     	-0.05886078     	0.06592744      	-0.71942970     	0.03412747      	0.03267469      	-1.07789300     	0.03269005      
0.16666670	-0.00064482     	-0.06513347     	-0.04977846     	0.00000000      	0.00000000      	0.00000000      	-0.01027876     	0.35749080      	-0.01667643     	-0.02258461     	0.54167130      	-0.02403450     	-0.18329900     	0.26232900      	-0.00893927     	-0.40921980     	0.25553270      	-0.00028634     	-0.63193890     	0.25465370      	0.01220989      	0.16452020      	0.26915540      	-0.02589774     	0.42396500      	0.28467810      	-0.01690674     	0.64062610      	0.31623140      	-0.00157499     	-0.07502798     	-0.14591480     	-0.05775905     	-0.05811903     	-0.72145430     	0.01987195      	-0.05293967     	-1.06106900     	0.02086139      	0.07729294      	-0.13982880     	-0.05878353     	0.06589066      	-0.71945570     	0.03421330      	0.03274520      	-1.07783900     	0.03263164      
0.20000000	-0.00063380     	-0.06514854     	-0.04972243     	0.00000000      	0.00000000      	0.00000000      	-0.01046994     	0.35747470      	-0.01660919     	-0.02261585     	0.54168570      	-0.02408934     	-0.18321530     	0.26231830      	-0.00902391     	-0.40937630     	0.25529590      	-0.00047874     	-0.63162980     	0.25397150      	0.01177406      	0.16459660      	0.26918080      	-0.02591920     	0.42406690      	0.28480410      	-0.01693606     	0.64058190      	0.31639630      	-0.00143766     	-0.07499164     	-0.14591580     	-0.05772614     	-0.05810908     	-0.72135480     	0.01990676      	-0.05752359     	-1.05457200     	0.02196169      	0.07731681      	-0.13985650     	-0.05871415     	0.06548642      	-0.71826370     	0.03408980      	0.03283078      	-1.07778100     	0.03257227      
0.23333330	-0.00062340     	-0.06516507     	-0.04966879     	0.00000000      	0.00000000      	0.00000000      	-0.01063829     	0.35746650      	-0.01655221     	-0.02263930     	0.54170130      	-0.02415395     	-0.18313350     	0.26230750      	-0.00911093     	-0.40952500     	0.25506670      	-0.00066853     	-0.63136730     	0.25336050      	0.01137376      	0.16467470      	0.26920570      	-0.02594495     	0.42418750      	0.28493340      	-0.01696587     	0.64057600      	0.31655520      	-0.00132155     	-0.07495487     	-0.14591750     	-0.05769753     	-0.05807994     	-0.72124220     	0.01993513      	-0.05283636     	-1.06021200     	0.02022004      	0.07733773      	-0.13988850     	-0.05864525     	0.06523895      	-0.71783820     	0.03406882      	0.03293655      	-1.07773100     	0.03249979      
0.26666670	-0.00061627     	-0.06518263     	-0.04961824     	0.00000000      	0.00000000      	0.00000000      	-0.01077489     	0.35746480      	-0.01650405     	-0.02265137     	0.54172460      	-0.02422714     	-0.18305870     	0.26229400      	-0.00920272     	-0.40971700     	0.25483290      	-0.00085950     	-0.63118200     	0.25283910      	0.01102805      	0.16475540      	0.26922600      	-0.02597904     	0.42430320      	0.28505400      	-0.01700592     	0.64063020      	0.31640570      	-0.00148320     	-0.07492736     	-0.14592240     	-0.05766869     	-0.05806515     	-0.72112380     	0.01996231      	-0.05039128     	-1.06325400     	0.01909542      	0.07735376      	-0.13992330     	-0.05858231     	0.06509954      	-0.71761290     	0.03407216      	0.03305963      	-1.07768500     	0.03241587      
0.30000000	-0.00060734     	-0.06519806     	-0.04957271     	0.00000000      	0.00000000      	0.00000000      	-0.01089839     	0.35746160      	-0.01646161     	-0.02266086     	0.54174910      	-0.02430296     	-0.18299090     	0.26227750      	-0.00929189     	-0.40990380     	0.25461350      	-0.00103903     	-0.63103310     	0.25237330      	0.01069832      	0.16483050      	0.26923970      	-0.02600908     	0.42441000      	0.28516250      	-0.01704764     	0.64067110      	0.31615680      	-0.00169706     	-0.07489918     	-0.14592610     	-0.05764413     	-0.05804969     	-0.72101290     	0.01998353      	-0.04871196     	-1.06537200     	0.01830816      	0.07737287      	-0.13995580     	-0.05852628     	0.06499790      	-0.71744390     	0.03406715      	0.03318756      	-1.07764000     	0.03233504      
