%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	172.624684294890	136.520082640201	177.549745903243	146.156924756311	171.281577168465	129.251378223519	170.793158870590	170.886238887598	149.115168778741	168.806349264156	130.568903689917	176.837719007463	
0.03333334	172.635056770064	136.520759161131	177.561219262260	146.160866852729	171.287904961767	129.253336538865	170.800677357974	170.903320714150	149.103226558005	168.819673860667	130.558557086493	176.846815062789	
0.06666667	172.644900861291	136.521063813716	177.570853260452	146.164600614808	171.294118742810	129.255253018134	170.807979210281	170.926571238132	149.097016763140	168.829400909995	130.551160580501	176.853116894646	
0.10000000	172.654779086037	136.521300602430	177.579864263177	146.169011252599	171.300442174025	129.257199406159	170.815683718937	170.944485002400	149.093238374484	168.840133133585	130.541771601791	176.857559537655	
0.13333330	172.664243142920	136.521782657150	177.587082872684	146.172814018351	171.306709347422	129.259163175686	170.822785583837	170.955602849458	149.090149796657	168.843499706438	130.541173536906	176.861166654666	
0.16666670	172.672845438578	136.522378390649	177.594307450260	146.176580591410	171.313649102588	129.260500229911	170.829859081935	170.953825747160	149.086698202195	168.843596007016	130.523425927531	176.864999688785	
0.20000000	172.680554410868	136.523005708936	177.600493116589	146.180873563077	171.320958477490	129.261246328545	170.836736440472	170.917170458627	149.082596579844	168.839169991797	130.513238832694	176.868701377784	
0.23333330	172.688388416663	136.523440106604	177.604775986363	146.184875687613	171.328163465445	129.261708617335	170.843245068081	170.965842674285	149.078254118264	168.831463024634	130.513802871491	176.872802619873	
0.26666670	172.692935168881	136.524041422970	177.609196600724	146.187780228189	171.336466852092	129.262059877418	170.849594552280	171.013432125096	149.075698145538	168.819014203033	130.508858720100	176.873791905430	
0.30000000	172.697532038248	136.524520153648	177.613421286494	146.190586287734	171.343931488540	129.262345113661	170.855712517455	171.015894278597	149.074063975878	168.808968449981	130.505574431392	176.874207192601	
