%Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    	
0.00000000	0.46229200      	0.10711330      	2.40977600      	0.45840130      	0.16950400      	2.46780300      	0.43922940      	0.53349070      	2.46976000      	0.42640920      	0.71580870      	2.47199400      	0.28587660      	0.38968480      	2.45765400      	0.18560090      	0.16734300      	2.50430400      	0.07947281      	-0.04232684     	2.49537300      	0.61743380      	0.47867300      	2.47389600      	0.80030080      	0.65977050      	2.43878600      	0.93012300      	0.84464510      	2.39800200      	0.39341800      	0.02495207      	2.39345300      	0.38928190      	-0.51864240     	2.48326800      	0.42010050      	-0.89309870     	2.47339400      	0.53923290      	0.03681802      	2.39935000      	0.55701040      	-0.51783490     	2.47509600      	0.53391920      	-0.89599250     	2.46919200      
0.03333334	0.46228740      	0.10710370      	2.40988000      	0.45838660      	0.16948160      	2.46791700      	0.43921520      	0.53347750      	2.46991500      	0.42639950      	0.71581140      	2.47223000      	0.28583740      	0.38960380      	2.45772600      	0.18558210      	0.16729220      	2.50452400      	0.08048690      	-0.04036608     	2.49639100      	0.61781480      	0.47885410      	2.47422500      	0.80028900      	0.65977940      	2.43878700      	0.93011930      	0.84462210      	2.39802200      	0.39339910      	0.02491414      	2.39354500      	0.38924430      	-0.51857700     	2.48329200      	0.42009990      	-0.89306840     	2.47340800      	0.53925110      	0.03680992      	2.39945800      	0.55700360      	-0.51779420     	2.47510300      	0.53400770      	-0.89587300     	2.46926000      
0.06666667	0.46231100      	0.10709270      	2.40998200      	0.45839630      	0.16945600      	2.46803000      	0.43922610      	0.53345760      	2.47008900      	0.42643570      	0.71580270      	2.47247200      	0.28585360      	0.38949640      	2.45777800      	0.18559910      	0.16729030      	2.50470200      	0.08025154      	-0.04101028     	2.49631600      	0.61817070      	0.47901850      	2.47451700      	0.80028120      	0.65978790      	2.43878800      	0.93012370      	0.84460090      	2.39804000      	0.39341180      	0.02487581      	2.39362500      	0.38920750      	-0.51851480     	2.48331300      	0.42009880      	-0.89303950     	2.47342100      	0.53930460      	0.03680060      	2.39957300      	0.55699550      	-0.51777120     	2.47511100      	0.53408980      	-0.89576280     	2.46932400      
0.10000000	0.46233850      	0.10707680      	2.41007400      	0.45841350      	0.16942570      	2.46813700      	0.43924690      	0.53343150      	2.47025800      	0.42649290      	0.71577240      	2.47269500      	0.28589640      	0.38937660      	2.45781500      	0.18561580      	0.16728890      	2.50486000      	0.07961576      	-0.04247857     	2.49569700      	0.61839090      	0.47907560      	2.47468100      	0.80027710      	0.65979540      	2.43879000      	0.93013840      	0.84457370      	2.39804700      	0.39342930      	0.02483769      	2.39369800      	0.38914930      	-0.51836000     	2.48332100      	0.42009060      	-0.89305730     	2.47341700      	0.53935640      	0.03678945      	2.39967600      	0.55698810      	-0.51775670     	2.47511900      	0.53414540      	-0.89570670     	2.46935000      
0.13333330	0.46237710      	0.10705980      	2.41016700      	0.45844050      	0.16939370      	2.46824300      	0.43928500      	0.53340340      	2.47043500      	0.42657690      	0.71573080      	2.47291100      	0.28601220      	0.38921780      	2.45783400      	0.18563350      	0.16728780      	2.50499100      	0.07894047      	-0.04393863     	2.49505900      	0.61861490      	0.47912400      	2.47483200      	0.80027640      	0.65980270      	2.43879100      	0.93016690      	0.84451310      	2.39804800      	0.39346500      	0.02479789      	2.39377400      	0.38909490      	-0.51821860     	2.48332800      	0.42007830      	-0.89308380     	2.47340900      	0.53941260      	0.03677740      	2.39977500      	0.55697720      	-0.51775380     	2.47512800      	0.53420570      	-0.89563980     	2.46937900      
0.16666670	0.46241240      	0.10704470      	2.41025300      	0.45845900      	0.16936270      	2.46834100      	0.43934680      	0.53336750      	2.47063300      	0.42671200      	0.71568590      	2.47316300      	0.28624820      	0.38900770      	2.45781500      	0.18566020      	0.16730120      	2.50509100      	0.07831500      	-0.04523766     	2.49445500      	0.61916310      	0.47925540      	2.47514200      	0.80028760      	0.65981060      	2.43878100      	0.93021860      	0.84446210      	2.39803600      	0.39349130      	0.02476260      	2.39384300      	0.38903890      	-0.51807120     	2.48333300      	0.42004800      	-0.89301310     	2.47341700      	0.53945950      	0.03676284      	2.39986100      	0.55696640      	-0.51775460     	2.47513800      	0.53426920      	-0.89557490     	2.46940600      
0.20000000	0.46244020      	0.10703370      	2.41033300      	0.45846930      	0.16933570      	2.46843300      	0.43940760      	0.53333320      	2.47081800      	0.42687710      	0.71563390      	2.47344400      	0.28652720      	0.38880490      	2.45779000      	0.18569360      	0.16732220      	2.50518400      	0.07771742      	-0.04643479     	2.49382100      	0.62002890      	0.47949360      	2.47559300      	0.80031830      	0.65981990      	2.43875900      	0.93028210      	0.84439700      	2.39801700      	0.39350490      	0.02473273      	2.39390900      	0.38898390      	-0.51793050     	2.48333600      	0.42001800      	-0.89294480     	2.47343200      	0.53949960      	0.03674757      	2.39993700      	0.55695460      	-0.51775840     	2.47514700      	0.53432840      	-0.89551510     	2.46943000      
0.23333330	0.46246370      	0.10702580      	2.41040700      	0.45847680      	0.16931220      	2.46851900      	0.43947120      	0.53330340      	2.47099200      	0.42708210      	0.71557870      	2.47371600      	0.28680270      	0.38861810      	2.45776600      	0.18573910      	0.16735150      	2.50526300      	0.07709569      	-0.04762267     	2.49312900      	0.62092170      	0.47971470      	2.47603100      	0.80038210      	0.65983360      	2.43871700      	0.93036120      	0.84432350      	2.39798600      	0.39350800      	0.02470784      	2.39396700      	0.38893410      	-0.51781170     	2.48333800      	0.41999380      	-0.89289450     	2.47344400      	0.53953680      	0.03673227      	2.40000800      	0.55693950      	-0.51776990     	2.47516100      	0.53438480      	-0.89543320     	2.46946700      
0.26666670	0.46248260      	0.10702400      	2.41047600      	0.45848230      	0.16929340      	2.46860100      	0.43956590      	0.53327860      	2.47118700      	0.42731000      	0.71553050      	2.47398400      	0.28705010      	0.38845130      	2.45774700      	0.18581370      	0.16739140      	2.50533600      	0.07649184      	-0.04871821     	2.49244600      	0.62189660      	0.47992310      	2.47647300      	0.80047150      	0.65984630      	2.43865600      	0.93047950      	0.84424990      	2.39794400      	0.39349940      	0.02468583      	2.39402300      	0.38888670      	-0.51770030     	2.48333900      	0.41996870      	-0.89285190     	2.47345500      	0.53957040      	0.03671756      	2.40007100      	0.55692510      	-0.51779040     	2.47517700      	0.53443460      	-0.89537350     	2.46950300      
0.30000000	0.46250050      	0.10702740      	2.41053900      	0.45848760      	0.16927970      	2.46867500      	0.43965730      	0.53325470      	2.47136300      	0.42759240      	0.71547960      	2.47426600      	0.28727580      	0.38830150      	2.45772600      	0.18592270      	0.16745350      	2.50540100      	0.07597958      	-0.04962343     	2.49187200      	0.62276860      	0.48009200      	2.47685200      	0.80057330      	0.65985260      	2.43859200      	0.93060520      	0.84417410      	2.39789600      	0.39349000      	0.02466725      	2.39407400      	0.38884220      	-0.51759580     	2.48333900      	0.41994830      	-0.89281930     	2.47346600      	0.53960310      	0.03670455      	2.40012700      	0.55691110      	-0.51781140     	2.47519200      	0.53448360      	-0.89531510     	2.46953800      
