Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c
m																																																
0.00000000	0.01130942      	-0.05704853     	-0.06897449     	0.00000000      	0.00000000      	0.00000000      	-0.00936442     	0.38956320      	0.07777762      	-0.00537378     	0.56631640      	0.08670592      	-0.15286120     	0.25054330      	0.00665402      	-0.20966180     	-0.00802001     	-0.05323005     	-0.21263670     	-0.20885790     	-0.17371180     	0.15863510      	0.25391670      	0.05976653      	0.20913260      	-0.01115804     	0.00434947      	0.23779430      	-0.21077230     	-0.11893420     	-0.05559310     	-0.12286870     	-0.10301020     	-0.07545774     	-0.52241890     	-0.09050870     	-0.07106518     	-0.75575530     	-0.10015510     	0.08444524      	-0.12448970     	-0.08242011     	0.09563455      	-0.52104930     	-0.07890344     	0.09203588      	-0.75423490     	-0.09266400     
0.03333334	0.01140836      	-0.05708651     	-0.06896758     	0.00000000      	0.00000000      	0.00000000      	-0.00924756     	0.38974320      	0.07775140      	-0.00525559     	0.56629910      	0.08647656      	-0.15258330     	0.25092930      	0.00609326      	-0.20896040     	-0.00847913     	-0.05317068     	-0.21167490     	-0.20922800     	-0.17281820     	0.15863590      	0.25381240      	0.05963993      	0.20883180      	-0.01149548     	0.00471568      	0.23692490      	-0.21776140     	-0.11996630     	-0.05551039     	-0.12288070     	-0.10307360     	-0.07582922     	-0.52239790     	-0.09139442     	-0.07105841     	-0.75528650     	-0.10068080     	0.08456369      	-0.12443980     	-0.08222628     	0.09615591      	-0.52116160     	-0.07959390     	0.09209377      	-0.75434450     	-0.09303665     
0.06666667	0.01154365      	-0.05706576     	-0.06891298     	0.00000000      	0.00000000      	0.00000000      	-0.00940072     	0.38971880      	0.07751274      	-0.00524476     	0.56625680      	0.08629560      	-0.15238760     	0.25102510      	0.00560713      	-0.20856260     	-0.00853125     	-0.05290389     	-0.21020340     	-0.21049590     	-0.17197110     	0.15863770      	0.25367270      	0.05955148      	0.20876760      	-0.01229881     	0.00531578      	0.23545890      	-0.21437630     	-0.11579250     	-0.05534697     	-0.12285270     	-0.10300160     	-0.07614082     	-0.52230670     	-0.09219933     	-0.07086000     	-0.75561300     	-0.10081550     	0.08479938      	-0.12428560     	-0.08207488     	0.09687325      	-0.52080330     	-0.08046389     	0.09135221      	-0.75394950     	-0.09340215     
0.10000000	0.01167206      	-0.05703219     	-0.06883740     	0.00000000      	0.00000000      	0.00000000      	-0.00940558     	0.38960920      	0.07734299      	-0.00525769     	0.56645410      	0.08569884      	-0.15223300     	0.25134790      	0.00498581      	-0.20806920     	-0.00959688     	-0.05284095     	-0.20921250     	-0.21111850     	-0.17144320     	0.15853070      	0.25378670      	0.05939198      	0.20857950      	-0.01258533     	0.00596690      	0.23519990      	-0.21268770     	-0.11306260     	-0.05515055     	-0.12273350     	-0.10292200     	-0.07621290     	-0.52235550     	-0.09266877     	-0.07108723     	-0.75633000     	-0.10101580     	0.08493909      	-0.12423180     	-0.08186865     	0.09695997      	-0.52102570     	-0.08078504     	0.09137370      	-0.75419100     	-0.09369016     
0.13333330	0.01178548      	-0.05701108     	-0.06879377     	0.00000000      	0.00000000      	0.00000000      	-0.00953005     	0.38953210      	0.07712531      	-0.00550557     	0.56658410      	0.08532381      	-0.15212880     	0.25181000      	0.00445557      	-0.20767520     	-0.00988602     	-0.05270338     	-0.20858690     	-0.21076470     	-0.17093160     	0.15859930      	0.25376020      	0.05920649      	0.20814330      	-0.01243679     	0.00753570      	0.23490820      	-0.21225370     	-0.11172440     	-0.05503441     	-0.12270720     	-0.10289570     	-0.07637943     	-0.52234620     	-0.09318376     	-0.07136367     	-0.75613090     	-0.10121270     	0.08510641      	-0.12422490     	-0.08178091     	0.09712821      	-0.52125040     	-0.08103466     	0.09149316      	-0.75444870     	-0.09412861     
0.16666670	0.01181994      	-0.05701205     	-0.06879306     	0.00000000      	0.00000000      	0.00000000      	-0.00942046     	0.38951300      	0.07712078      	-0.00534198     	0.56665640      	0.08495927      	-0.15208870     	0.25188260      	0.00405026      	-0.20743790     	-0.00944752     	-0.05232358     	-0.20827570     	-0.21102990     	-0.17072560     	0.15873630      	0.25374310      	0.05910373      	0.20821460      	-0.01273234     	0.00804353      	0.23437400      	-0.21115640     	-0.11037590     	-0.05499621     	-0.12269340     	-0.10291670     	-0.07609043     	-0.52252040     	-0.09358788     	-0.07133667     	-0.75612970     	-0.10120870     	0.08511228      	-0.12428050     	-0.08179498     	0.09743648      	-0.52099600     	-0.08147001     	0.09178456      	-0.75419330     	-0.09418845     
0.20000000	0.01186222      	-0.05700688     	-0.06877971     	0.00000000      	0.00000000      	0.00000000      	-0.00947044     	0.38944490      	0.07697105      	-0.00530305     	0.56667250      	0.08440185      	-0.15202520     	0.25210590      	0.00365853      	-0.20734100     	-0.00950269     	-0.05229568     	-0.20775090     	-0.21153130     	-0.17046000     	0.15863550      	0.25387510      	0.05886364      	0.20797300      	-0.01276574     	0.00846291      	0.23435180      	-0.21862110     	-0.11348510     	-0.05495008     	-0.12262410     	-0.10288670     	-0.07610629     	-0.52247630     	-0.09394169     	-0.07127894     	-0.75652710     	-0.10132050     	0.08515861      	-0.12428210     	-0.08178163     	0.09756824      	-0.51961400     	-0.08229446     	0.09201840      	-0.75280470     	-0.09450102     
0.23333330	0.01190060      	-0.05708260     	-0.06875825     	0.00000000      	0.00000000      	0.00000000      	-0.01000640     	0.38936720      	0.07614613      	-0.00545947     	0.56662200      	0.08406377      	-0.15213900     	0.25207850      	0.00336742      	-0.20718120     	-0.00954408     	-0.05210853     	-0.20771200     	-0.21179190     	-0.17042970     	0.15837210      	0.25374410      	0.05848503      	0.20788630      	-0.01294584     	0.00871706      	0.23469780      	-0.22135990     	-0.11479660     	-0.05490103     	-0.12273070     	-0.10282990     	-0.07603872     	-0.52266080     	-0.09429646     	-0.07121828     	-0.75658840     	-0.10146280     	0.08523700      	-0.12432220     	-0.08174944     	0.09787631      	-0.51968230     	-0.08259130     	0.09206891      	-0.75287100     	-0.09450507     
0.26666670	0.01192416      	-0.05708135     	-0.06874323     	0.00000000      	0.00000000      	0.00000000      	-0.01009713     	0.38919930      	0.07579565      	-0.00546081     	0.56665060      	0.08344293      	-0.15214020     	0.25231740      	0.00302315      	-0.20714620     	-0.00925325     	-0.05198264     	-0.20819000     	-0.21278140     	-0.17075540     	0.15821640      	0.25409610      	0.05819130      	0.20785530      	-0.01296391     	0.00882697      	0.23479770      	-0.21843170     	-0.11216070     	-0.05487043     	-0.12271860     	-0.10281300     	-0.07586017     	-0.52285310     	-0.09478283     	-0.07121539     	-0.75630410     	-0.10176400     	0.08527783      	-0.12431700     	-0.08170509     	0.09824295      	-0.51947310     	-0.08310032     	0.09202875      	-0.75267210     	-0.09498334     
