Time	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft
c	c	c	c	c	c	c	c	c	c	c	c	c
m												
0.00000000	171.195824297880	140.578929764011	160.019876577289	139.575081909859	175.380893336901	133.698602591375	97.8517222457312	158.908121293881	147.147242020069	174.283738239677	132.904511633717	104.686917881113
0.03333334	171.149145613865	140.581416547884	160.386559844781	139.597735689257	175.454085805692	133.749741265634	97.8706254277872	158.928985705042	146.951405860668	174.314528804300	132.988462276836	104.472180395992
0.06666667	171.176006596076	140.553924064280	160.395771575248	139.565402421765	175.393474782355	133.759650280676	97.8900400496698	158.895272202171	146.887926131212	174.370773492423	133.119282123985	104.377099189044
0.10000000	171.060866287594	140.537117660072	160.417805190527	139.524350034014	175.450972740152	133.761848267096	97.9118859178523	158.754496932248	146.628189704502	174.471308884447	133.176295592263	104.201513032865
0.13333330	171.043612509646	140.510306560609	160.012827560824	139.418391724140	175.445742765125	133.758833255876	97.9614429405304	158.621524019561	146.408394068532	174.556249688866	133.244640032428	104.012402779584
0.16666670	170.931111735190	140.505515216559	159.862251417228	139.406826679072	175.521202950702	133.846898780854	97.9706326868689	158.539506320789	146.293117237426	174.729915444630	133.229844762069	103.962065190936
0.20000000	170.812174053486	140.487324125566	159.872463130122	139.357157207507	175.696670367957	133.888278580574	97.9742058449265	158.493994215515	146.194607383484	174.780844971774	133.241361344664	103.919815162066
0.23333330	171.008345120888	140.431127357400	159.732125050691	139.346507263719	175.704243900019	133.899961561762	98.0554468935352	158.447684366970	146.195259055738	174.848653451769	133.291436990566	103.830539455022
0.26666670	170.952493072531	140.392793735738	159.819774400204	139.270213231053	175.646539735453	133.955386523615	98.0633985480262	158.486856041662	146.092647464542	174.966059314431	133.305113453270	103.835595575076
0.30000000	171.132925149812	140.376774556338	159.799400913822	139.291429100166	175.787290505268	134.019752209130	98.0558476264830	158.457915264024	146.060453991936	175.075612377255	133.409524917409	103.796070070216
0.33333330	171.029445518600	140.372065642411	159.679830267638	139.325040446602	175.728618762549	134.012694882082	97.9900918987468	158.434709649551	145.905363428511	175.377424064736	133.349075423548	103.810109137630
0.36666670	171.154058109118	140.359180609785	159.479085662200	139.298262328665	175.738469745951	133.984516804521	98.0424357504830	158.442648107062	146.135600489458	175.585410880317	133.367829256555	104.016446266475
0.40000000	171.228001476344	140.341943139957	159.262195621959	139.252429881452	175.957562229098	133.943467633218	98.0996648159062	158.295974502840	146.206818888194	175.936927858339	133.325196552961	104.050165703709
0.43333330	171.291420739075	140.315432635064	159.304358061479	139.167430681124	175.990967167425	133.980501991800	98.1154128970812	158.277451506344	146.449108578628	176.064370855174	133.317213966787	104.240204237278
0.46666670	171.144794610766	140.313580671603	158.598316226664	139.281989344167	175.851485201987	134.014386321364	98.1844325111550	158.142269595177	146.583531516547	176.359893729326	133.355887021233	104.441978237704
0.50000000	171.373512144017	140.308573813115	158.516109072139	139.311468749400	176.095734642101	134.027081406290	98.2111588013487	158.091757803169	146.877573052470	176.496327115608	133.265666936274	104.681448210005
0.53333340	171.546394515487	140.282685988034	158.340997045268	139.370781315110	176.145724445224	134.116560288937	98.3295869541658	158.308523537416	147.182361507241	176.731365617870	133.000225295358	104.929594069975
0.56666670	171.419297926190	140.249519826469	157.890193979199	139.507361187904	176.136443422295	134.167880950592	98.4722614786913	158.160185190687	147.462381776495	176.757505284253	132.838220927652	105.284981838501
0.60000000	171.140129708750	140.256269668838	157.639678375263	139.850935683083	176.098045829076	134.207807159237	98.7978347732129	157.525309548570	147.752204316821	176.855162408850	132.713321433718	105.559297638531
0.63333330	171.239496387493	140.209739032031	157.472240958754	140.180737885582	176.139166454078	134.431648436355	99.1379313999851	156.552308037845	148.110068582244	176.768763391721	132.351588344798	105.906461976096
0.66666670	171.209352233282	140.108587706581	157.585202071864	140.416411567290	176.238371826839	134.233110563829	99.3863337529860	155.708158172211	148.522333388110	176.875888762489	132.263933858798	106.378015956145
0.70000000	171.242876259542	140.038389112021	157.957141641329	141.211645933838	176.168974815099	134.125142992522	100.208513003559	154.978341132854	148.917100151779	177.073418365995	132.264682811311	107.020685689201
0.73333330	171.174041971361	140.010702608435	157.863862158142	142.075039302636	176.407455092898	133.805173975900	101.108192157164	154.453438309683	149.514289352046	177.186104391665	132.360511723950	107.699962603023
0.76666670	170.938248182084	139.971150022416	157.367180802313	143.185841874748	176.483244907833	133.719725258798	102.367206634035	154.312392559947	150.536782840299	177.137933353278	132.335578299890	108.854643978798
0.80000000	170.987919985905	139.885104479940	156.645077601481	144.862949617409	176.625758719462	133.487158220858	104.218622044160	154.325049484456	151.344717784842	177.089170309441	132.545207597236	109.723686160539
0.83333330	171.155265922028	139.878009801493	155.258111101425	146.578623460359	176.790300280703	133.389965616432	106.107769446580	154.205004973955	152.849529964626	177.008815813888	132.576347063317	111.396666405285
0.86666670	171.664411737001	139.842281372708	153.930718715671	147.918028628884	176.959294539801	133.282469883660	107.531768627706	153.823754838623	154.643621089865	176.998155764514	132.667364715506	113.297014781025
0.90000000	171.613967502815	139.850103666689	152.260973872968	149.577960876674	177.167233062200	133.167192695023	109.281651158176	153.433833486539	155.729567991069	176.791328610508	132.853073355389	114.567287980736
0.93333330	171.901623885060	139.855469128092	150.139973765826	151.651654827793	177.271110594057	132.925304889016	111.471162169571	153.496284834185	156.876652557417	176.741060223167	132.995568968820	116.114512386637
0.96666660	171.836540747219	139.866248905998	149.103014525496	153.592869739216	177.412485874955	132.872577985107	113.624617725369	152.576051988206	158.258646721764	176.640687943199	133.145404958350	117.748988911853
1.00000000	171.598755650247	139.873100861672	147.827913906978	155.302784617920	177.359200764096	132.766794549671	115.501256691449	152.226998696719	160.175948675563	176.567999366005	133.319466296462	120.320524758913
1.03333300	171.675452376629	139.872776239459	146.207736923932	157.486391902731	177.403490495679	132.799804401346	118.121091282956	152.269869775877	161.264692915733	176.560252872480	133.378499344056	121.614432467777
1.06666700	171.637137535798	139.873286995760	144.877449793985	158.793612493374	177.418654980719	132.776478508673	119.838001827707	151.213582930640	162.678809043853	176.540714747237	133.447843933703	123.884243622110
1.10000000	171.544496012562	139.875981195003	144.701034668319	159.717811477653	177.356345674285	132.766269625293	121.127784584173	151.019634519667	163.369897330670	176.500457994068	133.496493883901	125.094947520361
