Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c
m																																																
0.00000000	0.00497519      	-0.05790709     	-0.05318451     	0.00000000      	0.00000000      	0.00000000      	-0.00538308     	0.33390190      	-0.00584006     	-0.00739584     	0.51735390      	-0.02656054     	-0.19092020     	0.25676750      	-0.00016665     	-0.43068860     	0.25849720      	-0.01110268     	-0.64463690     	0.27429170      	-0.04761457     	0.18781930      	0.27375920      	0.02891994      	0.42104880      	0.26534890      	0.04555440      	0.63258180      	0.28557650      	0.08382034      	-0.07664466     	-0.14408730     	-0.07797003     	-0.08379252     	-0.71652460     	-0.04505992     	-0.04898811     	-1.07483600     	-0.06490326     	0.09064271      	-0.14236410     	-0.05439091     	0.06336845      	-0.70857420     	-0.03391361     	0.02983703      	-1.08179400     	-0.04977012     
0.03333334	0.00518315      	-0.05800499     	-0.05312562     	0.00000000      	0.00000000      	0.00000000      	-0.00672621     	0.33421830      	-0.00643325     	-0.00698438     	0.51519620      	-0.02601194     	-0.19026670     	0.25667800      	0.00014067      	-0.42974590     	0.25852810      	-0.01071787     	-0.64372310     	0.27427480      	-0.04693222     	0.18853890      	0.27355120      	0.02917051      	0.42179320      	0.26565430      	0.04545403      	0.63282390      	0.28542570      	0.08333373      	-0.07621558     	-0.14421700     	-0.07779384     	-0.08382402     	-0.71441560     	-0.04480338     	-0.04845922     	-1.07527200     	-0.06523013     	0.09109408      	-0.14243070     	-0.05431080     	0.06436134      	-0.70866170     	-0.03327394     	0.03075578      	-1.08173800     	-0.04947162     
0.06666667	0.00516899      	-0.05807179     	-0.05311227     	0.00000000      	0.00000000      	0.00000000      	-0.00664056     	0.33452180      	-0.00657821     	-0.00715132     	0.51688150      	-0.02551723     	-0.19070300     	0.25668950      	0.00061321      	-0.42935970     	0.25844690      	-0.01068902     	-0.64335140     	0.27379820      	-0.04696822     	0.18873380      	0.27333360      	0.02954435      	0.42244430      	0.26589360      	0.04547787      	0.63323820      	0.28506750      	0.08321571      	-0.07619414     	-0.14441170     	-0.07776022     	-0.08324751     	-0.71504680     	-0.04460788     	-0.04748525     	-1.07661600     	-0.06588960     	0.09108625      	-0.14253780     	-0.05428720     	0.06413162      	-0.70990200     	-0.03319335     	0.03124399      	-1.08217400     	-0.04947805     
0.10000000	0.00527095      	-0.05808595     	-0.05307674     	0.00000000      	0.00000000      	0.00000000      	-0.00733145     	0.33429920      	-0.00703597     	-0.00685257     	0.51659830      	-0.02544117     	-0.19042890     	0.25686000      	0.00065613      	-0.42905270     	0.25862100      	-0.01071858     	-0.64326920     	0.27409590      	-0.04737830     	0.18904330      	0.27347340      	0.02956223      	0.42265890      	0.26619700      	0.04538989      	0.63319670      	0.28512700      	0.08293223      	-0.07593158     	-0.14437330     	-0.07773733     	-0.08290093     	-0.71494390     	-0.04462457     	-0.04744904     	-1.07644100     	-0.06602359     	0.09119375      	-0.14262150     	-0.05414224     	0.06431517      	-0.70973640     	-0.03324413     	0.03185587      	-1.08262100     	-0.05000138     
0.13333330	0.00523547      	-0.05812956     	-0.05305409     	0.00000000      	0.00000000      	0.00000000      	-0.00698776     	0.33444280      	-0.00734425     	-0.00647863     	0.51889130      	-0.02467251     	-0.19041760     	0.25676930      	0.00074720      	-0.42910130     	0.25885810      	-0.01079535     	-0.64296160     	0.27425630      	-0.04810643     	0.18904990      	0.27323050      	0.02968621      	0.42297410      	0.26625350      	0.04535413      	0.63300630      	0.28479960      	0.08267522      	-0.07609572     	-0.14437090     	-0.07756639     	-0.08272228     	-0.71488740     	-0.04459858     	-0.04720260     	-1.07695100     	-0.06617069     	0.09111235      	-0.14264860     	-0.05414462     	0.06349815      	-0.70985720     	-0.03334522     	0.03179409      	-1.08236400     	-0.04992032     
0.16666670	0.00523979      	-0.05818923     	-0.05307436     	0.00000000      	0.00000000      	0.00000000      	-0.00706476     	0.33499340      	-0.00700665     	-0.00620637     	0.51874710      	-0.02508807     	-0.19012700     	0.25697500      	0.00058293      	-0.42931780     	0.25962780      	-0.01103497     	-0.64283250     	0.27653730      	-0.05025697     	0.18927780      	0.27334640      	0.02958894      	0.42339010      	0.26662650      	0.04522276      	0.63310980      	0.28524150      	0.08244085      	-0.07611233     	-0.14451760     	-0.07748818     	-0.08285297     	-0.71454790     	-0.04486346     	-0.04714656     	-1.07681600     	-0.06636167     	0.09123566      	-0.14254250     	-0.05429387     	0.06352338      	-0.71089750     	-0.03378510     	0.03345615      	-1.08030200     	-0.04933810     
0.20000000	0.00520568      	-0.05821942     	-0.05304360     	0.00000000      	0.00000000      	0.00000000      	-0.00695891     	0.33508740      	-0.00713754     	-0.00617546     	0.51881460      	-0.02533197     	-0.19018580     	0.25683880      	0.00059938      	-0.42952870     	0.26001790      	-0.01065159     	-0.64314290     	0.27726160      	-0.04876208     	0.18912760      	0.27339240      	0.02948666      	0.42373560      	0.26682480      	0.04498935      	0.63300210      	0.28489580      	0.08293748      	-0.07604375     	-0.14446490     	-0.07729268     	-0.08258244     	-0.71461370     	-0.04491973     	-0.04748781     	-1.07746900     	-0.06646204     	0.09101269      	-0.14256030     	-0.05423403     	0.06369912      	-0.71076390     	-0.03411722     	0.03342135      	-1.08043200     	-0.04943442     
0.23333330	0.00512055      	-0.05839884     	-0.05298018     	0.00000000      	0.00000000      	0.00000000      	-0.00698624     	0.33561950      	-0.00792193     	-0.00639492     	0.51871680      	-0.02634931     	-0.19039370     	0.25719640      	0.00125408      	-0.42861730     	0.26024700      	-0.01025629     	-0.64227580     	0.27749220      	-0.04792070     	0.18935490      	0.27314570      	0.02950835      	0.42383750      	0.26580090      	0.04531050      	0.63332120      	0.28462810      	0.08312273      	-0.07625120     	-0.14455270     	-0.07702184     	-0.08196575     	-0.71574580     	-0.04491901     	-0.04767201     	-1.07758900     	-0.06619883     	0.09092636      	-0.14288770     	-0.05411339     	0.06358625      	-0.71052720     	-0.03435111     	0.03072512      	-1.08020900     	-0.05266714     
0.26666670	0.00510122      	-0.05838050     	-0.05299354     	0.00000000      	0.00000000      	0.00000000      	-0.00690240     	0.33561100      	-0.00778532     	-0.00636735     	0.51854600      	-0.02638865     	-0.19036810     	0.25712410      	0.00125241      	-0.42840250     	0.26021460      	-0.01042986     	-0.64275290     	0.27821140      	-0.04746509     	0.18940010      	0.27306270      	0.02940559      	0.42348860      	0.26582660      	0.04501939      	0.63292650      	0.28445400      	0.08298254      	-0.07629444     	-0.14457190     	-0.07701969     	-0.08243720     	-0.71563030     	-0.04495907     	-0.04727379     	-1.07861000     	-0.06534147     	0.09093188      	-0.14281900     	-0.05419016     	0.06331385      	-0.71060830     	-0.03474164     	0.03148475      	-1.07983200     	-0.05171251     
