HipCenter-X	HipCenter-Y	HipCenter-Z	Spine-X	Spine-Y	Spine-Z	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X	Head-Y	Head-Z	ShoulderLeft-X	ShoulderLeft-Y	ShoulderLeft-Z	ElbowLeft-X	ElbowLeft-Y	ElbowLeft-Z	WristLeft-X	WristLeft-Y	WristLeft-Z	ShoulderRight-X	ShoulderRight-Y	ShoulderRight-Z	ElbowRight-X	ElbowRight-Y	ElbowRight-Z	WristRight-X	WristRight-Y	WristRight-Z	HipLeft-X	HipLeft-Y	HipLeft-Z	KneeLeft-X	KneeLeft-Y	KneeLeft-Z	AnkleLeft-X	AnkleLeft-Y	AnkleLeft-Z	HipRight-X	HipRight-Y	HipRight-Z	KneeRight-X	KneeRight-Y	KneeRight-Z	AnkleRight-X	AnkleRight-Y	AnkleRight-Z	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft	Time	Naive Bayes	kNN	Classification Tree
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	discrete	discrete
																																																												meta	meta	meta	meta
0.01130942	-0.05704853	-0.06897449	0.0	0.0	0.0	-0.00936442	0.3895632	0.07777762	-0.00537378	0.5663164	0.08670592	-0.1528612	0.2505433	0.00665402	-0.2096618	-0.00802001	-0.05323005	-0.2126367	-0.2088579	-0.1737118	0.1586351	0.2539167	0.05976653	0.2091326	-0.01115804	0.00434947	0.2377943	-0.2107723	-0.1189342	-0.0555931	-0.1228687	-0.1030102	-0.07545774	-0.5224189	-0.0905087	-0.07106518	-0.7557553	-0.1001551	0.08444524	-0.1244897	-0.08242011	0.09563455	-0.5210493	-0.07890344	0.09203588	-0.7542349	-0.092664	171.195824298	140.578929764	160.019876577	139.57508191	175.380893337	133.698602591	97.8517222457	158.908121294	147.14724202	174.28373824	132.904511634	104.686917881	0.0	C2	C3	C2
0.01140836	-0.05708651	-0.06896758	0.0	0.0	0.0	-0.00924756	0.3897432	0.0777514	-0.00525559	0.5662991	0.08647656	-0.1525833	0.2509293	0.00609326	-0.2089604	-0.00847913	-0.05317068	-0.2116749	-0.209228	-0.1728182	0.1586359	0.2538124	0.05963993	0.2088318	-0.01149548	0.00471568	0.2369249	-0.2177614	-0.1199663	-0.05551039	-0.1228807	-0.1030736	-0.07582922	-0.5223979	-0.09139442	-0.07105841	-0.7552865	-0.1006808	0.08456369	-0.1244398	-0.08222628	0.09615591	-0.5211616	-0.0795939	0.09209377	-0.7543445	-0.09303665	171.149145614	140.581416548	160.386559845	139.597735689	175.454085806	133.749741266	97.8706254278	158.928985705	146.951405861	174.314528804	132.988462277	104.472180396	0.03333334	C2	C3	C2
0.01154365	-0.05706576	-0.06891298	0.0	0.0	0.0	-0.00940072	0.3897188	0.07751274	-0.00524476	0.5662568	0.0862956	-0.1523876	0.2510251	0.00560713	-0.2085626	-0.00853125	-0.05290389	-0.2102034	-0.2104959	-0.1719711	0.1586377	0.2536727	0.05955148	0.2087676	-0.01229881	0.00531578	0.2354589	-0.2143763	-0.1157925	-0.05534697	-0.1228527	-0.1030016	-0.07614082	-0.5223067	-0.09219933	-0.07086	-0.755613	-0.1008155	0.08479938	-0.1242856	-0.08207488	0.09687325	-0.5208033	-0.08046389	0.09135221	-0.7539495	-0.09340215	171.176006596	140.553924064	160.395771575	139.565402422	175.393474782	133.759650281	97.8900400497	158.895272202	146.887926131	174.370773492	133.119282124	104.377099189	0.06666667	C2	C3	C2
0.01167206	-0.05703219	-0.0688374	0.0	0.0	0.0	-0.00940558	0.3896092	0.07734299	-0.00525769	0.5664541	0.08569884	-0.152233	0.2513479	0.00498581	-0.2080692	-0.00959688	-0.05284095	-0.2092125	-0.2111185	-0.1714432	0.1585307	0.2537867	0.05939198	0.2085795	-0.01258533	0.0059669	0.2351999	-0.2126877	-0.1130626	-0.05515055	-0.1227335	-0.102922	-0.0762129	-0.5223555	-0.09266877	-0.07108723	-0.75633	-0.1010158	0.08493909	-0.1242318	-0.08186865	0.09695997	-0.5210257	-0.08078504	0.0913737	-0.754191	-0.09369016	171.060866288	140.53711766	160.417805191	139.524350034	175.45097274	133.761848267	97.9118859179	158.754496932	146.628189705	174.471308884	133.176295592	104.201513033	0.1	C2	C3	C2
0.01178548	-0.05701108	-0.06879377	0.0	0.0	0.0	-0.00953005	0.3895321	0.07712531	-0.00550557	0.5665841	0.08532381	-0.1521288	0.25181	0.00445557	-0.2076752	-0.00988602	-0.05270338	-0.2085869	-0.2107647	-0.1709316	0.1585993	0.2537602	0.05920649	0.2081433	-0.01243679	0.0075357	0.2349082	-0.2122537	-0.1117244	-0.05503441	-0.1227072	-0.1028957	-0.07637943	-0.5223462	-0.09318376	-0.07136367	-0.7561309	-0.1012127	0.08510641	-0.1242249	-0.08178091	0.09712821	-0.5212504	-0.08103466	0.09149316	-0.7544487	-0.09412861	171.04361251	140.510306561	160.012827561	139.418391724	175.445742765	133.758833256	97.9614429405	158.62152402	146.408394069	174.556249689	133.244640032	104.01240278	0.1333333	C2	C3	C2
0.01181994	-0.05701205	-0.06879306	0.0	0.0	0.0	-0.00942046	0.389513	0.07712078	-0.00534198	0.5666564	0.08495927	-0.1520887	0.2518826	0.00405026	-0.2074379	-0.00944752	-0.05232358	-0.2082757	-0.2110299	-0.1707256	0.1587363	0.2537431	0.05910373	0.2082146	-0.01273234	0.00804353	0.234374	-0.2111564	-0.1103759	-0.05499621	-0.1226934	-0.1029167	-0.07609043	-0.5225204	-0.09358788	-0.07133667	-0.7561297	-0.1012087	0.08511228	-0.1242805	-0.08179498	0.09743648	-0.520996	-0.08147001	0.09178456	-0.7541933	-0.09418845	170.931111735	140.505515217	159.862251417	139.406826679	175.521202951	133.846898781	97.9706326869	158.539506321	146.293117237	174.729915445	133.229844762	103.962065191	0.1666667	C2	C3	C2
0.01186222	-0.05700688	-0.06877971	0.0	0.0	0.0	-0.00947044	0.3894449	0.07697105	-0.00530305	0.5666725	0.08440185	-0.1520252	0.2521059	0.00365853	-0.207341	-0.00950269	-0.05229568	-0.2077509	-0.2115313	-0.17046	0.1586355	0.2538751	0.05886364	0.207973	-0.01276574	0.00846291	0.2343518	-0.2186211	-0.1134851	-0.05495008	-0.1226241	-0.1028867	-0.07610629	-0.5224763	-0.09394169	-0.07127894	-0.7565271	-0.1013205	0.08515861	-0.1242821	-0.08178163	0.09756824	-0.519614	-0.08229446	0.0920184	-0.7528047	-0.09450102	170.812174053	140.487324126	159.87246313	139.357157208	175.696670368	133.888278581	97.9742058449	158.493994216	146.194607383	174.780844972	133.241361345	103.919815162	0.2	C2	C3	C2
0.0119006	-0.0570826	-0.06875825	0.0	0.0	0.0	-0.0100064	0.3893672	0.07614613	-0.00545947	0.566622	0.08406377	-0.152139	0.2520785	0.00336742	-0.2071812	-0.00954408	-0.05210853	-0.207712	-0.2117919	-0.1704297	0.1583721	0.2537441	0.05848503	0.2078863	-0.01294584	0.00871706	0.2346978	-0.2213599	-0.1147966	-0.05490103	-0.1227307	-0.1028299	-0.07603872	-0.5226608	-0.09429646	-0.07121828	-0.7565884	-0.1014628	0.085237	-0.1243222	-0.08174944	0.09787631	-0.5196823	-0.0825913	0.09206891	-0.752871	-0.09450507	171.008345121	140.431127357	159.732125051	139.346507264	175.7042439	133.899961562	98.0554468935	158.447684367	146.195259056	174.848653452	133.291436991	103.830539455	0.2333333	C2	C3	C2
