HipCenter-X	HipCenter-Y	HipCenter-Z	Spine-X	Spine-Y	Spine-Z	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X	Head-Y	Head-Z	ShoulderLeft-X	ShoulderLeft-Y	ShoulderLeft-Z	ElbowLeft-X	ElbowLeft-Y	ElbowLeft-Z	WristLeft-X	WristLeft-Y	WristLeft-Z	ShoulderRight-X	ShoulderRight-Y	ShoulderRight-Z	ElbowRight-X	ElbowRight-Y	ElbowRight-Z	WristRight-X	WristRight-Y	WristRight-Z	HipLeft-X	HipLeft-Y	HipLeft-Z	KneeLeft-X	KneeLeft-Y	KneeLeft-Z	AnkleLeft-X	AnkleLeft-Y	AnkleLeft-Z	HipRight-X	HipRight-Y	HipRight-Z	KneeRight-X	KneeRight-Y	KneeRight-Z	AnkleRight-X	AnkleRight-Y	AnkleRight-Z	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft	Position	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	continuous
																																																												class	meta
0.00497519	-0.05790709	-0.05318451	0.0	0.0	0.0	-0.00538308	0.3339019	-0.00584006	-0.00739584	0.5173539	-0.02656054	-0.1909202	0.2567675	-0.00016665	-0.4306886	0.2584972	-0.01110268	-0.6446369	0.2742917	-0.04761457	0.1878193	0.2737592	0.02891994	0.4210488	0.2653489	0.0455544	0.6325818	0.2855765	0.08382034	-0.07664466	-0.1440873	-0.07797003	-0.08379252	-0.7165246	-0.04505992	-0.04898811	-1.074836	-0.06490326	0.09064271	-0.1423641	-0.05439091	0.06336845	-0.7085742	-0.03391361	0.02983703	-1.081794	-0.04977012	174.550208079	136.38878867	170.339679571	163.86282542	174.918690907	131.770725364	175.36827556	172.000693784	156.632553609	171.015118343	134.923226617	176.534083395	C3	0.0
0.00518315	-0.05800499	-0.05312562	0.0	0.0	0.0	-0.00672621	0.3342183	-0.00643325	-0.00698438	0.5151962	-0.02601194	-0.1902667	0.256678	0.00014067	-0.4297459	0.2585281	-0.01071787	-0.6437231	0.2742748	-0.04693222	0.1885389	0.2735512	0.02917051	0.4217932	0.2656543	0.04545403	0.6328239	0.2854257	0.08333373	-0.07621558	-0.144217	-0.07779384	-0.08382402	-0.7144156	-0.04480338	-0.04845922	-1.075272	-0.06523013	0.09109408	-0.1424307	-0.0543108	0.06436134	-0.7086617	-0.03327394	0.03075578	-1.081738	-0.04947162	174.816739652	136.378842393	170.51173576	163.699222809	174.790121624	131.731692861	175.505823275	172.076023823	156.234064253	170.881897239	135.056713121	176.521532502	C3	0.03333334
0.00516899	-0.05807179	-0.05311227	0.0	0.0	0.0	-0.00664056	0.3345218	-0.00657821	-0.00715132	0.5168815	-0.02551723	-0.190703	0.2566895	0.00061321	-0.4293597	0.2584469	-0.01068902	-0.6433514	0.2737982	-0.04696822	0.1887338	0.2733336	0.02954435	0.4224443	0.2658936	0.04547787	0.6332382	0.2850675	0.08321571	-0.07619414	-0.1444117	-0.07776022	-0.08324751	-0.7150468	-0.04460788	-0.04748525	-1.076616	-0.0658896	0.09108625	-0.1425378	-0.0542872	0.06413162	-0.709902	-0.03319335	0.03124399	-1.082174	-0.04947805	175.099249532	136.39431467	170.668219664	163.392446426	174.824981171	131.726496367	175.652033024	172.202177928	156.180821113	170.783449202	135.055287013	176.64173845	C3	0.06666667
0.00527095	-0.05808595	-0.05307674	0.0	0.0	0.0	-0.00733145	0.3342992	-0.00703597	-0.00685257	0.5165983	-0.02544117	-0.1904289	0.25686	0.00065613	-0.4290527	0.258621	-0.01071858	-0.6432692	0.2740959	-0.0473783	0.1890433	0.2734734	0.02956223	0.4226589	0.266197	0.04538989	0.6331967	0.285127	0.08293223	-0.07593158	-0.1443733	-0.07773733	-0.08290093	-0.7149439	-0.04462457	-0.04744904	-1.076441	-0.06602359	0.09119375	-0.1426215	-0.05414224	0.06431517	-0.7097364	-0.03324413	0.03185587	-1.082621	-0.05000138	175.229091281	136.347231553	170.75040932	163.481108299	174.810211713	131.758530875	175.693646092	172.12703422	156.141172368	170.810413165	135.079422862	176.655842536	C3	0.1
0.00523547	-0.05812956	-0.05305409	0.0	0.0	0.0	-0.00698776	0.3344428	-0.00734425	-0.00647863	0.5188913	-0.02467251	-0.1904176	0.2567693	0.0007472	-0.4291013	0.2588581	-0.01079535	-0.6429616	0.2742563	-0.04810643	0.1890499	0.2732305	0.02968621	0.4229741	0.2662535	0.04535413	0.6330063	0.2847996	0.08267522	-0.07609572	-0.1443709	-0.07756639	-0.08272228	-0.7148874	-0.04459858	-0.0472026	-1.076951	-0.06617069	0.09111235	-0.1426486	-0.05414462	0.06349815	-0.7098572	-0.03334522	0.03179409	-1.082364	-0.04992032	175.673891553	136.325240569	170.865185685	163.228624614	174.919857879	131.694459094	175.785361238	172.040270643	156.009057959	170.826972886	135.01701696	176.623551729	C3	0.1333333
0.00523979	-0.05818923	-0.05307436	0.0	0.0	0.0	-0.00706476	0.3349934	-0.00700665	-0.00620637	0.5187471	-0.02508807	-0.190127	0.256975	0.00058293	-0.4293178	0.2596278	-0.01103497	-0.6428325	0.2765373	-0.05025697	0.1892778	0.2733464	0.02958894	0.4233901	0.2666265	0.04522276	0.6331098	0.2852415	0.08244085	-0.07611233	-0.1445176	-0.07748818	-0.08285297	-0.7145479	-0.04486346	-0.04714656	-1.076816	-0.06636167	0.09123566	-0.1425425	-0.05429387	0.06352338	-0.7108975	-0.0337851	0.03345615	-1.080302	-0.0493381	175.339339676	136.40398025	170.893894537	163.131630622	175.160633186	131.592474894	175.859058503	171.477061726	155.775150213	170.83373573	135.07467633	176.517248176	C3	0.1666667
0.00520568	-0.05821942	-0.0530436	0.0	0.0	0.0	-0.00695891	0.3350874	-0.00713754	-0.00617546	0.5188146	-0.02533197	-0.1901858	0.2568388	0.00059938	-0.4295287	0.2600179	-0.01065159	-0.6431429	0.2772616	-0.04876208	0.1891276	0.2733924	0.02948666	0.4237356	0.2668248	0.04498935	0.6330021	0.2848958	0.08293748	-0.07604375	-0.1444649	-0.07729268	-0.08258244	-0.7146137	-0.04491973	-0.04748781	-1.077469	-0.06646204	0.09101269	-0.1425603	-0.05423403	0.06369912	-0.7107639	-0.03411722	0.03342135	-1.080432	-0.04943442	175.339341505	136.412856893	170.844132391	163.040832373	175.20446043	131.692940478	175.868200732	171.675578291	155.620660567	170.936748765	135.090899469	176.347492313	C3	0.2
0.00512055	-0.05839884	-0.05298018	0.0	0.0	0.0	-0.00698624	0.3356195	-0.00792193	-0.00639492	0.5187168	-0.02634931	-0.1903937	0.2571964	0.00125408	-0.4286173	0.260247	-0.01025629	-0.6422758	0.2774922	-0.0479207	0.1893549	0.2731457	0.02950835	0.4238375	0.2658009	0.0453105	0.6333212	0.2846281	0.08312273	-0.0762512	-0.1445527	-0.07702184	-0.08196575	-0.7157458	-0.04491901	-0.04767201	-1.077589	-0.06619883	0.09092636	-0.1428877	-0.05411339	0.06358625	-0.7105272	-0.03435111	0.03072512	-1.080209	-0.05266714	175.394924862	136.40559351	170.649942562	163.005182711	174.652860477	131.741091558	175.79254706	171.833425806	155.521168322	171.11530568	134.982337913	176.533017206	C3	0.2333333
